model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
ba-1m-8m,1000000,7999964,1,3,32.183073,100000,0,103.646831,166972,172486,175378,2493486,-1,100000,-1,2021-10-13.15:22:05
ba-1m-8m,1000000,7999964,1,3,70.776174,100000,0,115.241173,129555,151754,169854,2098634,-1,200000,-1,2021-10-13.15:22:09
ba-1m-8m,1000000,7999964,1,3,130.320152,100000,0,102.703018,111814,163005,254941,1591390,-1,400000,-1,2021-10-13.15:22:12
ba-1m-8m,1000000,7999964,1,3,213.329958,100000,0,114.377857,109467,148500,281830,1548947,-1,800000,-1,2021-10-13.15:22:15
ba-1m-8m,1000000,7999964,1,3,327.073754,100000,0,126.719130,111962,162954,498142,1433443,-1,1600000,-1,2021-10-13.15:22:19
ba-1m-8m,1000000,7999964,1,3,437.104503,100000,0,167.175513,66432,195048,1624895,905084,-1,3200000,-1,2021-10-13.15:22:24
ba-1m-8m,1000000,7999964,1,3,562.606710,100000,0,148.602799,52159,149822,1467278,690859,-1,6400000,-1,2021-10-13.15:22:29
ba-1m-8m,1000000,7999964,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-13.15:22:32
ba-1m-8m,1000000,7999964,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-13.15:22:35
ba-1m-8m,1000000,7999964,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-13.15:22:38
ba-1m-8m,1000000,7999964,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-13.15:22:41
baidu,2141301,17794839,1,3,69.708494,100000,0,93.390310,137804,156855,202927,2006818,-1,100000,-1,2021-10-13.15:23:00
baidu,2141301,17794839,1,3,104.156861,100000,0,98.883598,115128,142417,227660,1647993,-1,200000,-1,2021-10-13.15:23:20
baidu,2141301,17794839,1,3,150.002455,100000,0,101.215106,107267,138588,352081,1439236,-1,400000,-1,2021-10-13.15:23:39
