model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ba-1m-8m,1000000,7999964,1,3,662.71751,100000,0,173.253214,22169,166722,1856147,358468,-1,-1,2021-10-04.20:24:07
baidu,2141301,17794839,1,3,1464.471574,100000,0,329.953229,103224,138015,14664754,816743,-1,-1,2021-10-04.20:24:35
dbpedia,3966925,13820853,1,3,1551.986664,100000,0,130.108238,100570,127963,1654749,1114379,-1,-1,2021-10-04.20:24:52
er-1m-8m,1000000,8000000,1,3,868.641249,100000,0,83.651094,39510,66758,664169,434218,-1,-1,2021-10-04.20:25:01
livej,4847571,68993773,1,3,4680.765399,100000,0,252.803259,113227,159538,11497181,772374,-1,-1,2021-10-04.20:25:51
patent,6009555,16518948,1,3,3399.334913,100000,0,203.527488,108250,185159,2596335,1014456,-1,-1,2021-10-04.20:26:25
pokec,1632804,30622564,1,3,1721.832949,100000,0,196.121792,86005,147800,6105186,714890,-1,-1,2021-10-04.20:26:49
rmat-1m-8m,999760,7810950,1,3,381.963744,100000,0,264.737267,99503,133417,28866258,632690,-1,-1,2021-10-04.20:26:54
roadNetCA,1971281,5533214,1,3,508.352942,100000,0,100.840569,61600,255565,626741,929651,-1,-1,2021-10-04.20:26:57
ssca2,1048577,157877986,1,3,965.907848,100000,0,2381.474663,1590911,1683819,126220656,11985262,-1,-1,2021-10-04.20:27:53
wiki-links,5710993,130160392,1,3,9074.092772,100000,0,806.494162,188706,219217,58577630,772250,-1,-1,2021-10-04.20:30:04
wikitalk,2394385,5021410,1,3,430.369649,100000,0,231.214133,100598,109792,15175491,1088243,-1,-1,2021-10-04.20:30:07
wiki_talk_en,2987536,24981163,1,3,631.209239,100000,0,340.668828,101108,111019,25759234,950867,-1,-1,2021-10-04.20:30:14
ba-1m-8m,1000000,7999964,1,13,554.361918,100000,0,234.601751,22169,156375,1711731,104530,4,-1,2021-10-04.20:30:20
baidu,2141301,17794839,1,13,1301.387436,100000,0,275.570155,103224,127719,12499728,117164,5,-1,2021-10-04.20:30:45
dbpedia,3966925,13820853,1,13,1521.355512,100000,0,151.18778,100570,124615,1495278,114833,3,-1,2021-10-04.20:31:01
er-1m-8m,1000000,8000000,1,13,877.780055,100000,0,121.610351,39510,62720,631097,53556,5,-1,2021-10-04.20:31:10
livej,4847571,68993773,1,13,4654.00768,100000,0,308.952182,113227,153761,10841714,137137,4,-1,2021-10-04.20:32:00
patent,6009555,16518948,1,13,3301.319885,100000,0,256.573938,108250,173738,2294168,150209,3,-1,2021-10-04.20:32:33
pokec,1632804,30622564,1,13,1720.05367,100000,0,223.809453,86005,133781,5233523,115131,4,-1,2021-10-04.20:32:57
rmat-1m-8m,999760,7810950,1,13,387.454913,100000,0,262.986909,99503,117942,23441922,109649,9,-1,2021-10-04.20:33:02
roadNetCA,1971281,5533214,1,13,513.929131,100000,0,156.469341,61600,231562,563492,187250,4,-1,2021-10-04.20:33:06
ssca2,1048577,157877986,1,13,997.979801,100000,0,1894.609562,1590911,1594753,120722357,2362851,5,-1,2021-10-04.20:34:01
wiki-links,5710993,130160392,1,13,9399.712968,100000,0,918.265429,188706,211804,53970970,201977,6,-1,2021-10-04.20:36:15
wikitalk,2394385,5021410,1,13,425.832573,100000,0,189.447833,100598,105590,12774986,103359,10,-1,2021-10-04.20:36:18
wiki_talk_en,2987536,24981163,1,13,630.228678,100000,0,319.700908,101108,106198,22822995,103885,9,-1,2021-10-04.20:36:26
ba-1m-8m,1000000,7999964,1,2,643.171923,100000,0,1244.685753,22169,111826,1856147,0,-1,-1,2021-10-04.20:36:42
baidu,2141301,17794839,1,2,1382.743088,100000,0,456.275393,103224,124604,14516134,0,-1,-1,2021-10-04.20:37:09
dbpedia,3966925,13820853,1,2,1661.370605,100000,0,327.14387,100570,117176,1633197,0,-1,-1,2021-10-04.20:37:29
er-1m-8m,1000000,8000000,1,2,948.968159,100000,0,339.52907,39510,55197,664169,0,-1,-1,2021-10-04.20:37:48
livej,4847571,68993773,1,2,4869.68271,100000,0,521.143834,113227,141218,11470203,0,-1,-1,2021-10-04.20:38:45
patent,6009555,16518948,1,2,3452.461124,100000,0,692.830269,108250,158743,2491086,0,-1,-1,2021-10-04.20:39:26
pokec,1632804,30622564,1,2,1810.327272,100000,0,535.128539,86005,126140,6073015,0,-1,-1,2021-10-04.20:39:55
rmat-1m-8m,999760,7810950,1,2,424.771822,100000,0,347.033311,99503,119821,28592004,0,-1,-1,2021-10-04.20:40:00
roadNetCA,1971281,5533214,1,2,612.219451,100000,0,463.53328,61600,203582,616519,0,-1,-1,2021-10-04.20:40:07
ssca2,1048577,157877986,1,2,1047.517233,100000,0,2213.954249,1590911,1652979,125454988,0,-1,-1,2021-10-04.20:41:10
wiki-links,5710993,130160392,1,2,9990.763195,100000,0,1097.866323,188706,206642,57364389,0,-1,-1,2021-10-04.20:43:33
wikitalk,2394385,5021410,1,2,550.381158,100000,0,311.132795,100598,106032,14884718,0,-1,-1,2021-10-04.20:43:38
wiki_talk_en,2987536,24981163,1,2,762.169754,100000,0,472.683774,101108,106983,25543540,0,-1,-1,2021-10-04.20:43:46
ba-1m-8m,1000000,7999964,1,3,569.26552,0,100000,35.56783,22169,0,155486,22169,-1,-1,2021-10-04.20:43:52
baidu,2141301,17794839,1,3,1318.029871,0,100000,330.694437,103224,0,10444020,103224,-1,-1,2021-10-04.20:44:17
dbpedia,3966925,13820853,1,3,1538.639589,0,100000,575.576434,100570,0,939013,100570,-1,-1,2021-10-04.20:44:34
er-1m-8m,1000000,8000000,1,3,889.869788,0,100000,40.039216,39510,0,435368,39510,-1,-1,2021-10-04.20:44:43
livej,4847571,68993773,1,3,4775.507536,0,100000,197.903239,113227,0,8789288,113227,-1,-1,2021-10-04.20:45:34
patent,6009555,16518948,1,3,3331.005512,0,100000,87.006841,108250,0,1528766,108250,-1,-1,2021-10-04.20:46:07
pokec,1632804,30622564,1,3,1772.729476,0,100000,122.54868,86005,0,3446772,86005,-1,-1,2021-10-04.20:46:31
rmat-1m-8m,999760,7810950,1,3,412.853586,0,100000,373.828476,99503,0,20375246,99503,-1,-1,2021-10-04.20:46:36
roadNetCA,1971281,5533214,1,3,540.317135,0,100000,22.113114,61600,0,96740,61600,-1,-1,2021-10-04.20:46:39
ssca2,1048577,157877986,1,3,972.076212,0,100000,1085.278828,1590911,0,120409895,1590911,-1,-1,2021-10-04.20:47:35
wiki-links,5710993,130160392,1,3,9408.425931,0,100000,1027.271159,188706,0,49772227,188706,-1,-1,2021-10-04.20:49:48
wikitalk,2394385,5021410,1,3,443.904928,0,100000,343.625473,100598,0,11262183,100598,-1,-1,2021-10-04.20:49:52
wiki_talk_en,2987536,24981163,1,3,636.071642,0,100000,731.817135,101108,0,21074639,101108,-1,-1,2021-10-04.20:49:59
ba-1m-8m,1000000,7999964,1,2,642.741871,0,100000,261.706825,22169,0,310972,0,-1,-1,2021-10-04.20:50:14
baidu,2141301,17794839,1,2,1380.339652,0,100000,439.858423,103224,0,20888040,0,-1,-1,2021-10-04.20:50:41
dbpedia,3966925,13820853,1,2,1656.990946,0,100000,851.144751,100570,0,1878026,0,-1,-1,2021-10-04.20:51:01
er-1m-8m,1000000,8000000,1,2,1002.47536,0,100000,390.633272,39510,0,870736,0,-1,-1,2021-10-04.20:51:20
livej,4847571,68993773,1,2,4832.160335,0,100000,366.769511,113227,0,17578576,0,-1,-1,2021-10-04.20:52:16
patent,6009555,16518948,1,2,3538.620073,0,100000,383.272946,108250,0,3057532,0,-1,-1,2021-10-04.20:52:58
pokec,1632804,30622564,1,2,1944.26687,0,100000,351.050543,86005,0,6893544,0,-1,-1,2021-10-04.20:53:26
rmat-1m-8m,999760,7810950,1,2,449.18134,0,100000,384.293584,99503,0,40750492,0,-1,-1,2021-10-04.20:53:31
roadNetCA,1971281,5533214,1,2,620.46081,0,100000,190.262416,61600,0,193480,0,-1,-1,2021-10-04.20:53:38
ssca2,1048577,157877986,1,2,1026.940514,0,100000,1792.322766,1590911,0,240819790,0,-1,-1,2021-10-04.20:54:41
wiki-links,5710993,130160392,1,2,9848.761715,0,100000,1143.188894,188706,0,99544454,0,-1,-1,2021-10-04.20:57:04
wikitalk,2394385,5021410,1,2,542.88879,0,100000,398.33537,100598,0,22524366,0,-1,-1,2021-10-04.20:57:08
wiki_talk_en,2987536,24981163,1,2,766.751196,0,100000,766.0017,101108,0,42149278,0,-1,-1,2021-10-04.20:57:17
ba-1m-8m,1000000,7999964,1,3,567.021652,100000,0,163.6139,22169,166722,1856147,358468,-1,-1,2021-10-04.20:57:23
baidu,2141301,17794839,1,3,1291.214014,100000,0,262.429133,103224,138015,14664754,816743,-1,-1,2021-10-04.20:57:47
dbpedia,3966925,13820853,1,3,1510.572148,100000,0,129.423019,100570,127963,1654749,1114379,-1,-1,2021-10-04.20:58:04
er-1m-8m,1000000,8000000,1,3,876.698982,100000,0,83.780899,39510,66758,664169,434218,-1,-1,2021-10-04.20:58:13
livej,4847571,68993773,1,3,4693.308074,100000,0,250.916281,113227,159538,11497181,772374,-1,-1,2021-10-04.20:59:03
patent,6009555,16518948,1,3,3273.77519,100000,0,203.861939,108250,185159,2596335,1014456,-1,-1,2021-10-04.20:59:36
pokec,1632804,30622564,1,3,1734.333245,100000,0,196.742136,86005,147800,6105186,714890,-1,-1,2021-10-04.21:00:00
rmat-1m-8m,999760,7810950,1,3,384.532441,100000,0,264.389538,99503,133417,28866258,632690,-1,-1,2021-10-04.21:00:04
roadNetCA,1971281,5533214,1,3,511.653664,100000,0,102.582087,61600,255565,626741,929651,-1,-1,2021-10-04.21:00:08
ssca2,1048577,157877986,1,3,958.435973,100000,0,2388.389291,1590911,1683819,126220656,11985262,-1,-1,2021-10-04.21:01:04
wiki-links,5710993,130160392,1,3,9112.713619,100000,0,811.416974,188706,219217,58577630,772250,-1,-1,2021-10-04.21:03:15
wikitalk,2394385,5021410,1,3,423.851937,100000,0,229.346825,100598,109792,15175491,1088243,-1,-1,2021-10-04.21:03:18
wiki_talk_en,2987536,24981163,1,3,627.234034,100000,0,338.965187,101108,111019,25759234,950867,-1,-1,2021-10-04.21:03:25
ba-1m-8m,1000000,7999964,1,13,555.095888,100000,0,233.220049,22169,156375,1711731,104530,4,-1,2021-10-04.21:03:31
baidu,2141301,17794839,1,13,1302.889439,100000,0,269.240526,103224,127719,12499728,117164,5,-1,2021-10-04.21:03:56
dbpedia,3966925,13820853,1,13,1509.519974,100000,0,151.046315,100570,124615,1495278,114833,3,-1,2021-10-04.21:04:12
er-1m-8m,1000000,8000000,1,13,921.765275,100000,0,121.125158,39510,62720,631097,53556,5,-1,2021-10-04.21:04:21
livej,4847571,68993773,1,13,4699.473293,100000,0,310.393749,113227,153761,10841714,137137,4,-1,2021-10-04.21:05:11
patent,6009555,16518948,1,13,3365.756981,100000,0,257.300655,108250,173738,2294168,150209,3,-1,2021-10-04.21:05:44
pokec,1632804,30622564,1,13,1734.496042,100000,0,222.167439,86005,133781,5233523,115131,4,-1,2021-10-04.21:06:08
rmat-1m-8m,999760,7810950,1,13,385.284796,100000,0,264.507425,99503,117942,23441922,109649,9,-1,2021-10-04.21:06:13
roadNetCA,1971281,5533214,1,13,513.638025,100000,0,156.121787,61600,231562,563492,187250,4,-1,2021-10-04.21:06:17
ssca2,1048577,157877986,1,13,1015.729031,100000,0,1878.847444,1590911,1594753,120722357,2362851,5,-1,2021-10-04.21:07:12
wiki-links,5710993,130160392,1,13,9417.1841,100000,0,945.636191,188706,211804,53970970,201977,6,-1,2021-10-04.21:09:23
wikitalk,2394385,5021410,1,13,421.664182,100000,0,186.935518,100598,105590,12774986,103359,10,-1,2021-10-04.21:09:27
wiki_talk_en,2987536,24981163,1,13,623.348953,100000,0,319.862392,101108,106198,22822995,103885,9,-1,2021-10-04.21:09:34
ba-1m-8m,1000000,7999964,1,2,635.079316,100000,0,1225.104932,22169,111826,1856147,0,-1,-1,2021-10-04.21:09:51
baidu,2141301,17794839,1,2,1410.761889,100000,0,449.216839,103224,124604,14516134,0,-1,-1,2021-10-04.21:10:17
dbpedia,3966925,13820853,1,2,1626.451921,100000,0,320.652108,100570,117176,1633197,0,-1,-1,2021-10-04.21:10:36
er-1m-8m,1000000,8000000,1,2,933.956972,100000,0,330.819285,39510,55197,664169,0,-1,-1,2021-10-04.21:10:55
livej,4847571,68993773,1,2,4752.268298,100000,0,511.891283,113227,141218,11470203,0,-1,-1,2021-10-04.21:11:51
patent,6009555,16518948,1,2,3470.974097,100000,0,683.607897,108250,158743,2491086,0,-1,-1,2021-10-04.21:12:32
pokec,1632804,30622564,1,2,1916.57546,100000,0,523.925293,86005,126140,6073015,0,-1,-1,2021-10-04.21:13:00
rmat-1m-8m,999760,7810950,1,2,417.112638,100000,0,340.684896,99503,119821,28592004,0,-1,-1,2021-10-04.21:13:05
roadNetCA,1971281,5533214,1,2,599.581129,100000,0,456.520305,61600,203582,616519,0,-1,-1,2021-10-04.21:13:12
ssca2,1048577,157877986,1,2,1021.432695,100000,0,2177.374279,1590911,1652979,125454988,0,-1,-1,2021-10-04.21:14:14
wiki-links,5710993,130160392,1,2,9310.552457,100000,0,1061.684921,188706,206642,57364389,0,-1,-1,2021-10-04.21:16:34
wikitalk,2394385,5021410,1,2,534.960536,100000,0,305.330288,100598,106032,14884718,0,-1,-1,2021-10-04.21:16:38
wiki_talk_en,2987536,24981163,1,2,750.205441,100000,0,459.529501,101108,106983,25543540,0,-1,-1,2021-10-04.21:16:46
ba-1m-8m,1000000,7999964,1,3,542.465816,0,100000,35.046463,22169,0,155486,22169,-1,-1,2021-10-04.21:16:52
baidu,2141301,17794839,1,3,1297.481593,0,100000,324.165143,103224,0,10444020,103224,-1,-1,2021-10-04.21:17:17
dbpedia,3966925,13820853,1,3,1506.029574,0,100000,562.863145,100570,0,939013,100570,-1,-1,2021-10-04.21:17:33
er-1m-8m,1000000,8000000,1,3,863.320184,0,100000,39.229417,39510,0,435368,39510,-1,-1,2021-10-04.21:17:42
livej,4847571,68993773,1,3,4694.523563,0,100000,194.014762,113227,0,8789288,113227,-1,-1,2021-10-04.21:18:32
patent,6009555,16518948,1,3,3258.927217,0,100000,86.585396,108250,0,1528766,108250,-1,-1,2021-10-04.21:19:05
pokec,1632804,30622564,1,3,1737.036672,0,100000,118.90445,86005,0,3446772,86005,-1,-1,2021-10-04.21:19:29
rmat-1m-8m,999760,7810950,1,3,385.025245,0,100000,365.395855,99503,0,20375246,99503,-1,-1,2021-10-04.21:19:33
roadNetCA,1971281,5533214,1,3,518.896751,0,100000,21.376384,61600,0,96740,61600,-1,-1,2021-10-04.21:19:37
ssca2,1048577,157877986,1,3,958.462265,0,100000,1070.707798,1590911,0,120409895,1590911,-1,-1,2021-10-04.21:20:31
wiki-links,5710993,130160392,1,3,9262.852708,0,100000,1027.430904,188706,0,49772227,188706,-1,-1,2021-10-04.21:22:42
wikitalk,2394385,5021410,1,3,423.073282,0,100000,340.147635,100598,0,11262183,100598,-1,-1,2021-10-04.21:22:45
wiki_talk_en,2987536,24981163,1,3,626.679575,0,100000,723.002429,101108,0,21074639,101108,-1,-1,2021-10-04.21:22:53
ba-1m-8m,1000000,7999964,1,2,631.460122,0,100000,258.718766,22169,0,310972,0,-1,-1,2021-10-04.21:23:08
baidu,2141301,17794839,1,2,1352.681101,0,100000,431.831796,103224,0,20888040,0,-1,-1,2021-10-04.21:23:34
dbpedia,3966925,13820853,1,2,1624.47414,0,100000,836.452694,100570,0,1878026,0,-1,-1,2021-10-04.21:23:54
er-1m-8m,1000000,8000000,1,2,929.021484,0,100000,381.395625,39510,0,870736,0,-1,-1,2021-10-04.21:24:12
livej,4847571,68993773,1,2,4770.347733,0,100000,361.621458,113227,0,17578576,0,-1,-1,2021-10-04.21:25:08
patent,6009555,16518948,1,2,3393.527182,0,100000,375.531366,108250,0,3057532,0,-1,-1,2021-10-04.21:25:49
pokec,1632804,30622564,1,2,1792.622564,0,100000,343.294512,86005,0,6893544,0,-1,-1,2021-10-04.21:26:17
rmat-1m-8m,999760,7810950,1,2,439.439239,0,100000,353.137958,99503,0,40750492,0,-1,-1,2021-10-04.21:26:22
roadNetCA,1971281,5533214,1,2,603.855069,0,100000,184.507437,61600,0,193480,0,-1,-1,2021-10-04.21:26:28
ssca2,1048577,157877986,1,2,1012.274693,0,100000,1766.94273,1590911,0,240819790,0,-1,-1,2021-10-04.21:27:30
wiki-links,5710993,130160392,1,2,9329.511667,0,100000,1107.502908,188706,0,99544454,0,-1,-1,2021-10-04.21:29:51
wikitalk,2394385,5021410,1,2,535.193001,0,100000,389.896128,100598,0,22524366,0,-1,-1,2021-10-04.21:29:55
wiki_talk_en,2987536,24981163,1,2,766.545571,0,100000,746.470715,101108,0,42149278,0,-1,-1,2021-10-04.21:30:03
ba-1m-8m,1000000,7999964,1,3,604.026238,100000,0,158.88994,22169,166722,1856147,358468,-1,-1,2021-10-04.21:30:09
baidu,2141301,17794839,1,3,1361.614649,100000,0,262.847359,103224,138015,14664754,816743,-1,-1,2021-10-04.21:30:34
dbpedia,3966925,13820853,1,3,1509.878268,100000,0,128.838757,100570,127963,1654749,1114379,-1,-1,2021-10-04.21:30:50
er-1m-8m,1000000,8000000,1,3,864.160017,100000,0,83.034412,39510,66758,664169,434218,-1,-1,2021-10-04.21:30:59
livej,4847571,68993773,1,3,4679.986736,100000,0,249.946415,113227,159538,11497181,772374,-1,-1,2021-10-04.21:31:49
patent,6009555,16518948,1,3,3353.710301,100000,0,201.514014,108250,185159,2596335,1014456,-1,-1,2021-10-04.21:32:22
pokec,1632804,30622564,1,3,1725.806032,100000,0,196.93219,86005,147800,6105186,714890,-1,-1,2021-10-04.21:32:46
rmat-1m-8m,999760,7810950,1,3,379.489634,100000,0,262.713465,99503,133417,28866258,632690,-1,-1,2021-10-04.21:32:50
roadNetCA,1971281,5533214,1,3,512.35352,100000,0,102.557541,61600,255565,626741,929651,-1,-1,2021-10-04.21:32:54
ssca2,1048577,157877986,1,3,959.742716,100000,0,2375.074916,1590911,1683819,126220656,11985262,-1,-1,2021-10-04.21:33:49
wiki-links,5710993,130160392,1,3,9523.99747,100000,0,829.232809,188706,219217,58577630,772250,-1,-1,2021-10-04.21:36:00
wikitalk,2394385,5021410,1,3,421.057123,100000,0,228.037179,100598,109792,15175491,1088243,-1,-1,2021-10-04.21:36:04
wiki_talk_en,2987536,24981163,1,3,623.346323,100000,0,339.043694,101108,111019,25759234,950867,-1,-1,2021-10-04.21:36:11
ba-1m-8m,1000000,7999964,1,13,551.645755,100000,0,233.20683,22169,156375,1711731,104530,4,-1,2021-10-04.21:36:17
baidu,2141301,17794839,1,13,1290.293424,100000,0,267.062158,103224,127719,12499728,117164,5,-1,2021-10-04.21:36:41
dbpedia,3966925,13820853,1,13,1509.797173,100000,0,150.947874,100570,124615,1495278,114833,3,-1,2021-10-04.21:36:57
er-1m-8m,1000000,8000000,1,13,860.458839,100000,0,120.324935,39510,62720,631097,53556,5,-1,2021-10-04.21:37:06
livej,4847571,68993773,1,13,4683.900034,100000,0,312.785553,113227,153761,10841714,137137,4,-1,2021-10-04.21:37:56
patent,6009555,16518948,1,13,3254.668747,100000,0,255.811384,108250,173738,2294168,150209,3,-1,2021-10-04.21:38:29
pokec,1632804,30622564,1,13,1721.207451,100000,0,221.943304,86005,133781,5233523,115131,4,-1,2021-10-04.21:38:53
rmat-1m-8m,999760,7810950,1,13,382.086608,100000,0,259.304923,99503,117942,23441922,109649,9,-1,2021-10-04.21:38:57
roadNetCA,1971281,5533214,1,13,510.666676,100000,0,154.74511,61600,231562,563492,187250,4,-1,2021-10-04.21:39:01
ssca2,1048577,157877986,1,13,956.76559,100000,0,1869.544183,1590911,1594753,120722357,2362851,5,-1,2021-10-04.21:39:56
wiki-links,5710993,130160392,1,13,9108.921675,100000,0,922.739387,188706,211804,53970970,201977,6,-1,2021-10-04.21:42:07
wikitalk,2394385,5021410,1,13,421.826636,100000,0,187.460577,100598,105590,12774986,103359,10,-1,2021-10-04.21:42:10
wiki_talk_en,2987536,24981163,1,13,624.007217,100000,0,316.100631,101108,106198,22822995,103885,9,-1,2021-10-04.21:42:17
ba-1m-8m,1000000,7999964,1,2,635.488026,100000,0,1225.424722,22169,111826,1856147,0,-1,-1,2021-10-04.21:42:34
baidu,2141301,17794839,1,2,1342.837641,100000,0,447.966405,103224,124604,14516134,0,-1,-1,2021-10-04.21:43:00
dbpedia,3966925,13820853,1,2,1626.705798,100000,0,321.467794,100570,117176,1633197,0,-1,-1,2021-10-04.21:43:19
er-1m-8m,1000000,8000000,1,2,931.063841,100000,0,331.439048,39510,55197,664169,0,-1,-1,2021-10-04.21:43:38
livej,4847571,68993773,1,2,4734.297028,100000,0,510.704721,113227,141218,11470203,0,-1,-1,2021-10-04.21:44:34
patent,6009555,16518948,1,2,3377.659015,100000,0,681.102837,108250,158743,2491086,0,-1,-1,2021-10-04.21:45:14
pokec,1632804,30622564,1,2,1785.469664,100000,0,522.745789,86005,126140,6073015,0,-1,-1,2021-10-04.21:45:42
rmat-1m-8m,999760,7810950,1,2,415.393527,100000,0,339.480313,99503,119821,28592004,0,-1,-1,2021-10-04.21:45:48
roadNetCA,1971281,5533214,1,2,596.155681,100000,0,458.520812,61600,203582,616519,0,-1,-1,2021-10-04.21:45:54
ssca2,1048577,157877986,1,2,1016.511,100000,0,2177.837407,1590911,1652979,125454988,0,-1,-1,2021-10-04.21:46:57
wiki-links,5710993,130160392,1,2,9718.988348,100000,0,1097.178301,188706,206642,57364389,0,-1,-1,2021-10-04.21:49:17
wikitalk,2394385,5021410,1,2,535.361796,100000,0,305.653845,100598,106032,14884718,0,-1,-1,2021-10-04.21:49:21
wiki_talk_en,2987536,24981163,1,2,748.85345,100000,0,461.751068,101108,106983,25543540,0,-1,-1,2021-10-04.21:49:30
ba-1m-8m,1000000,7999964,1,3,550.567294,0,100000,34.96626,22169,0,155486,22169,-1,-1,2021-10-04.21:49:35
baidu,2141301,17794839,1,3,1294.843282,0,100000,327.489174,103224,0,10444020,103224,-1,-1,2021-10-04.21:50:00
dbpedia,3966925,13820853,1,3,1513.608601,0,100000,567.69843,100570,0,939013,100570,-1,-1,2021-10-04.21:50:17
er-1m-8m,1000000,8000000,1,3,869.301751,0,100000,39.491109,39510,0,435368,39510,-1,-1,2021-10-04.21:50:25
livej,4847571,68993773,1,3,4680.454475,0,100000,194.351404,113227,0,8789288,113227,-1,-1,2021-10-04.21:51:15
patent,6009555,16518948,1,3,3267.380557,0,100000,85.692478,108250,0,1528766,108250,-1,-1,2021-10-04.21:51:48
pokec,1632804,30622564,1,3,1738.29676,0,100000,123.005204,86005,0,3446772,86005,-1,-1,2021-10-04.21:52:12
rmat-1m-8m,999760,7810950,1,3,385.506556,0,100000,363.497381,99503,0,20375246,99503,-1,-1,2021-10-04.21:52:17
roadNetCA,1971281,5533214,1,3,517.756676,0,100000,21.661615,61600,0,96740,61600,-1,-1,2021-10-04.21:52:20
ssca2,1048577,157877986,1,3,948.15569,0,100000,1074.227833,1590911,0,120409895,1590911,-1,-1,2021-10-04.21:53:15
wiki-links,5710993,130160392,1,3,9207.904963,0,100000,1015.0996,188706,0,49772227,188706,-1,-1,2021-10-04.21:55:26
wikitalk,2394385,5021410,1,3,423.370774,0,100000,339.771191,100598,0,11262183,100598,-1,-1,2021-10-04.21:55:29
wiki_talk_en,2987536,24981163,1,3,629.929235,0,100000,724.928457,101108,0,21074639,101108,-1,-1,2021-10-04.21:55:37
ba-1m-8m,1000000,7999964,1,2,634.973065,0,100000,258.944795,22169,0,310972,0,-1,-1,2021-10-04.21:55:52
baidu,2141301,17794839,1,2,1358.44701,0,100000,438.72034,103224,0,20888040,0,-1,-1,2021-10-04.21:56:18
dbpedia,3966925,13820853,1,2,1634.552084,0,100000,842.439903,100570,0,1878026,0,-1,-1,2021-10-04.21:56:38
er-1m-8m,1000000,8000000,1,2,935.643585,0,100000,382.454623,39510,0,870736,0,-1,-1,2021-10-04.21:56:57
livej,4847571,68993773,1,2,4772.183096,0,100000,362.865353,113227,0,17578576,0,-1,-1,2021-10-04.21:57:53
patent,6009555,16518948,1,2,3396.78169,0,100000,380.091599,108250,0,3057532,0,-1,-1,2021-10-04.21:58:33
pokec,1632804,30622564,1,2,1796.949987,0,100000,343.875544,86005,0,6893544,0,-1,-1,2021-10-04.21:59:01
rmat-1m-8m,999760,7810950,1,2,420.241268,0,100000,354.734522,99503,0,40750492,0,-1,-1,2021-10-04.21:59:06
roadNetCA,1971281,5533214,1,2,606.061462,0,100000,184.204294,61600,0,193480,0,-1,-1,2021-10-04.21:59:12
ssca2,1048577,157877986,1,2,1010.905009,0,100000,1764.577357,1590911,0,240819790,0,-1,-1,2021-10-04.22:00:15
wiki-links,5710993,130160392,1,2,9345.709716,0,100000,1110.098192,188706,0,99544454,0,-1,-1,2021-10-04.22:02:35
wikitalk,2394385,5021410,1,2,536.393032,0,100000,394.89187,100598,0,22524366,0,-1,-1,2021-10-04.22:02:39
wiki_talk_en,2987536,24981163,1,2,753.303129,0,100000,749.260359,101108,0,42149278,0,-1,-1,2021-10-04.22:02:48
