model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
ba-1m-8m,1000000,7999964,16,4,523.073407,100000,0,72.893813,21558,164688,1456183,0,0,89270,-1,-1,-1,2022-10-04.16:52:53
ba-1m-8m,1000000,7999964,16,4,487.562010,0,100000,23.239161,21821,0,149558,0,0,0,-1,-1,-1,2022-10-04.16:52:56
ba-1m-8m,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,21576.1,287.465,2022-10-04.16:53:34
ba-1m-8m,1000000,7999964,16,4,534.282709,200000,0,125.011223,47059,322995,2821828,0,0,174798,-1,-1,-1,2022-10-04.16:53:40
ba-1m-8m,1000000,7999964,16,4,489.622727,0,200000,49.549207,47590,0,322501,0,0,0,-1,-1,-1,2022-10-04.16:53:44
ba-1m-8m,-1,-1,16,41,-1,200000,200000,-1,-1,-1,-1,-1,-1,-1,-1,34205.5,549.596,2022-10-04.16:54:35
ba-1m-8m,1000000,7999964,16,4,555.930639,300000,0,168.007903,77002,478107,4324386,0,0,257644,-1,-1,-1,2022-10-04.16:54:41
ba-1m-8m,1000000,7999964,16,4,489.699843,0,300000,72.217009,77633,0,529796,0,0,0,-1,-1,-1,2022-10-04.16:54:45
ba-1m-8m,-1,-1,16,41,-1,300000,300000,-1,-1,-1,-1,-1,-1,-1,-1,40173.1,822.036,2022-10-04.16:55:43
ba-1m-8m,1000000,7999964,16,4,571.190799,400000,0,219.531575,111533,634398,5810842,0,0,342093,-1,-1,-1,2022-10-04.16:55:49
ba-1m-8m,1000000,7999964,16,4,490.752137,0,400000,98.283722,112209,0,774491,0,0,0,-1,-1,-1,2022-10-04.16:55:53
ba-1m-8m,-1,-1,16,41,-1,400000,400000,-1,-1,-1,-1,-1,-1,-1,-1,46453.1,1114.29,2022-10-04.16:56:58
ba-1m-8m,1000000,7999964,16,4,599.256984,500000,0,273.810051,151965,798652,7467226,1,1,431867,-1,-1,-1,2022-10-04.16:57:04
ba-1m-8m,1000000,7999964,16,4,495.523977,0,500000,118.465101,151882,0,1062508,0,0,0,-1,-1,-1,2022-10-04.16:57:08
ba-1m-8m,-1,-1,16,41,-1,500000,500000,-1,-1,-1,-1,-1,-1,-1,-1,54443.9,1434.13,2022-10-04.16:58:21
ba-1m-8m,1000000,7999964,16,4,595.624070,600000,0,326.480846,198110,961962,9127756,3,4,518735,-1,-1,-1,2022-10-04.16:58:27
ba-1m-8m,1000000,7999964,16,4,504.340151,0,600000,153.841681,197085,0,1370503,0,0,0,-1,-1,-1,2022-10-04.16:58:31
ba-1m-8m,-1,-1,16,41,-1,600000,600000,-1,-1,-1,-1,-1,-1,-1,-1,58560.5,1756.33,2022-10-04.16:59:49
ba-1m-8m,1000000,7999964,16,4,619.950294,700000,0,390.802758,252133,1140348,10732719,10,10,613135,-1,-1,-1,2022-10-04.16:59:56
ba-1m-8m,1000000,7999964,16,4,503.783795,0,700000,177.510864,248696,0,1736664,0,0,0,-1,-1,-1,2022-10-04.17:00:00
ba-1m-8m,-1,-1,16,41,-1,700000,700000,-1,-1,-1,-1,-1,-1,-1,-1,63821.2,2022.04,2022-10-04.17:01:24
ba-1m-8m,1000000,7999964,16,4,631.395670,800000,0,456.612651,313706,1334129,12603153,21,21,716518,-1,-1,-1,2022-10-04.17:01:30
ba-1m-8m,1000000,7999964,16,4,502.427744,0,800000,200.462318,307366,0,2194816,0,0,0,-1,-1,-1,2022-10-04.17:01:35
ba-1m-8m,-1,-1,16,41,-1,800000,800000,-1,-1,-1,-1,-1,-1,-1,-1,65169.6,2355.13,2022-10-04.17:03:01
ba-1m-8m,1000000,7999964,16,4,625.980848,900000,0,525.333981,384777,1558325,15423403,85,86,839759,-1,-1,-1,2022-10-04.17:03:08
ba-1m-8m,1000000,7999964,16,4,525.529774,0,900000,242.682085,373308,0,2646817,0,0,0,-1,-1,-1,2022-10-04.17:03:12
ba-1m-8m,-1,-1,16,41,-1,900000,900000,-1,-1,-1,-1,-1,-1,-1,-1,65369.9,2723.47,2022-10-04.17:04:39
ba-1m-8m,1000000,7999964,16,4,625.309322,1000000,0,604.720632,469546,1806684,18098188,140,142,972137,-1,-1,-1,2022-10-04.17:04:45
ba-1m-8m,1000000,7999964,16,4,511.981529,0,1000000,260.110127,450389,0,3249523,0,0,0,-1,-1,-1,2022-10-04.17:04:50
ba-1m-8m,-1,-1,16,41,-1,1000000,1000000,-1,-1,-1,-1,-1,-1,-1,-1,67924.6,3082.51,2022-10-04.17:06:20
baidu,2141301,17014946,16,4,1516.296341,100000,0,142.168901,97662,130725,6398198,5,5,20661,-1,-1,-1,2022-10-04.17:06:50
baidu,2141301,17014946,16,4,1488.677796,0,100000,84.378696,94228,0,3240503,0,0,0,-1,-1,-1,2022-10-04.17:07:20
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,902.529,570.5,2022-10-04.17:08:17
baidu,2141301,17014946,16,4,1523.875601,200000,0,458.401420,201002,275409,19304310,27,27,48598,-1,-1,-1,2022-10-04.17:08:48
baidu,2141301,17014946,16,4,1494.359793,0,200000,224.825097,193100,0,13157876,0,0,0,-1,-1,-1,2022-10-04.17:09:17
baidu,-1,-1,16,41,-1,200000,200000,-1,-1,-1,-1,-1,-1,-1,-1,1628.9,1161.47,2022-10-04.17:10:15
baidu,2141301,17014946,16,4,1499.443098,300000,0,622.646357,298749,415625,28402483,65,70,78344,-1,-1,-1,2022-10-04.17:10:47
