model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
baidu,2141301,17014946,16,4,1447.945867,100000,0,127.189831,97914,131825,6579134,9,9,21243,-1,-1,-1,2022-10-07.16:33:40
baidu,2141301,17014946,16,4,1461.366596,0,100000,73.829851,93242,0,3263895,0,0,0,-1,-1,-1,2022-10-07.16:34:10
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,909.822,587.468,2022-10-07.16:35:06
dbpedia,3966925,12610982,16,4,1894.910529,100000,0,77.940126,97677,125832,1486035,14,16,17357,-1,-1,-1,2022-10-07.16:35:27
dbpedia,3966925,12610982,16,4,1874.929357,0,100000,447.181315,101385,0,1052123,0,0,0,-1,-1,-1,2022-10-07.16:35:46
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,734.468,444.11,2022-10-07.16:36:29
livej,4847571,42851237,16,4,4778.919439,100000,0,154.267212,110665,156884,5949296,9,9,28288,-1,-1,-1,2022-10-07.16:37:34
livej,4847571,42851237,16,4,4796.294529,0,100000,79.306079,102523,0,4380957,0,0,0,-1,-1,-1,2022-10-07.16:38:35
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,499.077,543.49,2022-10-07.16:40:59
roadNetCA,1971281,2766607,16,4,791.184064,100000,0,71.930609,48691,248137,530158,119,127,145352,-1,-1,-1,2022-10-07.16:41:03
roadNetCA,1971281,2766607,16,4,800.313188,0,100000,34.501409,59090,0,94274,0,0,0,-1,-1,-1,2022-10-07.16:41:07
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,435.081,144.526,2022-10-07.16:41:14
baidu,2141301,17014946,16,4,1483.201646,100000,0,131.930323,97437,131879,6640572,10,12,21536,-1,-1,-1,2022-10-07.16:41:45
baidu,2141301,17014946,16,4,1488.824306,0,100000,77.219388,93320,0,3373243,0,0,0,-1,-1,-1,2022-10-07.16:42:15
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,926.029,615.742,2022-10-07.16:43:12
dbpedia,3966925,12610982,16,4,1903.572124,100000,0,89.315960,98498,125946,1470263,8,9,16902,-1,-1,-1,2022-10-07.16:43:33
dbpedia,3966925,12610982,16,4,1887.715377,0,100000,430.546713,100828,0,1053516,0,0,0,-1,-1,-1,2022-10-07.16:43:52
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,961.255,409.108,2022-10-07.16:44:36
livej,4847571,42851237,16,4,4839.427865,100000,0,162.428489,112146,158049,6199601,6,6,28246,-1,-1,-1,2022-10-07.16:45:41
livej,4847571,42851237,16,4,4823.026458,0,100000,72.537537,103183,0,4216240,0,0,0,-1,-1,-1,2022-10-07.16:46:43
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,633.903,495.578,2022-10-07.16:49:07
roadNetCA,1971281,2766607,16,4,794.356543,100000,0,68.358720,48733,248925,533695,126,130,145191,-1,-1,-1,2022-10-07.16:49:11
roadNetCA,1971281,2766607,16,4,794.209179,0,100000,33.031227,59230,0,94530,0,0,0,-1,-1,-1,2022-10-07.16:49:15
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,397.108,148.619,2022-10-07.16:49:23
baidu,2141301,17014946,16,4,1499.641208,100000,0,123.549861,97664,131516,6505364,8,8,21203,-1,-1,-1,2022-10-07.16:49:54
baidu,2141301,17014946,16,4,1486.052576,0,100000,85.087927,93642,0,3081432,0,0,0,-1,-1,-1,2022-10-07.16:50:23
