model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
ba-1m-8m,1000000,7999964,1,2,881.019015,100000,0,2397.368919,21824,112358,1865077,0,2021-08-10.19:49:07
er-1m-8m,1000000,8000000,1,2,1055.526757,100000,0,709.119788,39595,55415,667276,0,2021-08-10.19:49:43
rmat-1m-8m,999760,7810950,1,2,549.759810,100000,0,481.870173,100549,120300,30772493,0,2021-08-10.19:49:49
ba-1m-8m,1000000,7999964,1,3,869.458834,100000,0,310.097826,22260,166501,1856037,365877,2021-08-10.19:50:00
er-1m-8m,1000000,8000000,1,3,1234.787233,100000,0,108.324061,39860,66972,666456,432362,2021-08-10.19:50:14
rmat-1m-8m,999760,7810950,1,3,509.682456,100000,0,395.469958,99648,133077,29020232,636809,2021-08-10.19:50:20
ba-1m-8m,1000000,7999964,1,2,827.941364,0,100000,330.970639,22071,0,0,0,2021-08-10.19:50:49
er-1m-8m,1000000,8000000,1,2,1008.826305,0,100000,471.103996,39554,0,0,0,2021-08-10.19:51:21
rmat-1m-8m,999760,7810950,1,2,662.513125,0,100000,437.259329,99476,0,0,0,2021-08-10.19:51:27
ba-1m-8m,1000000,7999964,1,3,852.314962,0,100000,44.296495,21920,0,0,21920,2021-08-10.19:51:37
er-1m-8m,1000000,8000000,1,3,1213.895301,0,100000,51.193867,39809,0,0,39809,2021-08-10.19:51:49
rmat-1m-8m,999760,7810950,1,3,529.639720,0,100000,465.537441,100516,0,0,100516,2021-08-10.19:52:00
ba-1m-8m,1000000,7999964,1,2,781.150971,100000,0,1913.488462,21911,112019,1866852,0,2021-08-10.19:52:28
er-1m-8m,1000000,8000000,1,2,996.915481,100000,0,664.106145,38884,54320,653374,0,2021-08-10.19:53:00
rmat-1m-8m,999760,7810950,1,2,548.005549,100000,0,390.382336,100783,120833,30760376,0,2021-08-10.19:53:07
ba-1m-8m,1000000,7999964,1,3,826.163890,100000,0,303.208922,21945,166534,1858358,362791,2021-08-10.19:53:17
er-1m-8m,1000000,8000000,1,3,1187.238975,100000,0,102.554295,39521,66634,661577,438762,2021-08-10.19:53:33
baidu,2141301,17794839,1,2,1683.505443,100000,0,439.423095,98137,118834,9886393,0,2021-08-10.19:55:30
dbpedia,3966925,13820853,1,2,2249.411966,100000,0,408.002577,100966,116705,1752330,0,2021-08-10.19:56:04
livej,4847571,68993773,1,2,5414.706700,100000,0,651.316568,112566,139647,11216577,0,2021-08-10.19:57:22
patent,6009555,16518948,1,2,3745.437791,100000,0,1148.331883,106875,157939,2447534,0,2021-08-10.19:58:21
pokec,1632804,30622564,1,2,2166.748601,100000,0,653.201354,85671,125395,5953082,0,2021-08-10.19:59:04
ssca2,1048577,157877986,1,2,1410.205789,100000,0,2455.002441,1590179,1651688,125291574,0,2021-08-10.20:00:49
wiki-links,5710993,130160392,1,2,9120.167757,100000,0,1168.631273,186448,202203,53535779,0,2021-08-10.20:04:05
wikitalk,2394385,5021410,1,2,769.891280,100000,0,517.479564,100747,105866,14266875,0,2021-08-10.20:04:10
wiki_talk_en,2987536,24981163,1,2,1215.805013,100000,0,537.527391,101092,106992,25140283,0,2021-08-10.20:04:30
ba-1m-8m,1000000,7999964,1,3,905.903057,100000,0,302.397862,22039,166513,1847132,366625,2021-08-10.20:04:40
baidu,2141301,17794839,1,3,1763.666348,100000,0,272.499749,98857,133152,10293005,815875,2021-08-10.20:05:14
dbpedia,3966925,13820853,1,3,1897.336544,100000,0,149.894836,101507,128031,2003020,1099103,2021-08-10.20:06:29
er-1m-8m,1000000,8000000,1,3,1176.902304,100000,0,101.873722,39502,66330,659617,434130,2021-08-10.20:06:46
livej,4847571,68993773,1,3,5451.364058,100000,0,476.745804,111263,158381,10707657,776593,2021-08-10.20:08:17
patent,6009555,16518948,1,3,3799.635258,100000,0,297.258564,106403,182387,2439568,1014938,2021-08-10.20:10:24
pokec,1632804,30622564,1,3,2379.580586,100000,0,269.209115,85278,146216,5879892,719071,2021-08-10.20:11:07
rmat-1m-8m,999760,7810950,1,3,509.384452,100000,0,454.796456,100534,133834,30547435,637641,2021-08-10.20:11:19
ssca2,1048577,157877986,1,3,2132.247318,100000,0,11856.520578,1589212,1680098,125949556,11961051,2021-08-10.20:12:48
wiki-links,5710993,130160392,1,3,10395.010543,100000,0,5217.506245,187614,214691,55825639,764131,2021-08-10.20:16:11
wikitalk,2394385,5021410,1,3,612.660775,100000,0,302.650194,100595,109162,14284530,1057632,2021-08-10.20:16:16
wiki_talk_en,2987536,24981163,1,3,901.935377,100000,0,529.060367,101216,111088,25793264,935065,2021-08-10.20:16:26
ba-1m-8m,1000000,7999964,1,2,778.073427,0,100000,329.378160,21722,0,0,0,2021-08-10.20:16:52
baidu,2141301,17794839,1,2,1674.761804,0,100000,448.088615,99281,0,0,0,2021-08-10.20:17:28
dbpedia,3966925,13820853,1,2,2174.898037,0,100000,870.995457,101276,0,0,0,2021-08-10.20:18:02
er-1m-8m,1000000,8000000,1,2,1040.156512,0,100000,468.106757,39499,0,0,0,2021-08-10.20:18:33
livej,4847571,68993773,1,2,5264.335052,0,100000,426.279809,110194,0,0,0,2021-08-10.20:19:48
patent,6009555,16518948,1,2,3711.596683,0,100000,482.161288,108665,0,0,0,2021-08-10.20:20:46
pokec,1632804,30622564,1,2,2029.452793,0,100000,427.422645,86175,0,0,0,2021-08-10.20:21:27
rmat-1m-8m,999760,7810950,1,2,580.081223,0,100000,436.776147,100538,0,0,0,2021-08-10.20:21:33
ssca2,1048577,157877986,1,2,1477.866315,0,100000,2113.771355,1593904,0,0,0,2021-08-10.20:23:05
wiki-links,5710993,130160392,1,2,9320.860925,0,100000,1373.873528,187679,0,0,0,2021-08-10.20:26:09
wikitalk,2394385,5021410,1,2,829.848696,0,100000,456.784071,100700,0,0,0,2021-08-10.20:26:19
wiki_talk_en,2987536,24981163,1,2,1290.971949,0,100000,793.598422,99976,0,0,0,2021-08-10.20:26:30
ba-1m-8m,1000000,7999964,1,3,860.758921,0,100000,45.428975,22082,0,0,22082,2021-08-10.20:26:36
baidu,2141301,17794839,1,3,1625.537429,0,100000,294.731000,98145,0,0,98145,2021-08-10.20:27:08
dbpedia,3966925,13820853,1,3,1936.323272,0,100000,814.959774,101016,0,0,101016,2021-08-10.20:27:29
er-1m-8m,1000000,8000000,1,3,1203.701017,0,100000,49.952795,38457,0,0,38457,2021-08-10.20:27:41
livej,4847571,68993773,1,3,5252.715963,0,100000,224.396826,111039,0,0,111039,2021-08-10.20:28:47
patent,6009555,16518948,1,3,3735.131336,0,100000,111.444501,106382,0,0,106382,2021-08-10.20:30:51
pokec,1632804,30622564,1,3,2403.336660,0,100000,147.467169,85917,0,0,85917,2021-08-10.20:31:24
rmat-1m-8m,999760,7810950,1,3,502.354191,0,100000,459.638600,100468,0,0,100468,2021-08-10.20:31:32
ssca2,1048577,157877986,1,3,2048.700538,0,100000,1249.065613,1593355,0,0,1593355,2021-08-10.20:32:48
wiki-links,5710993,130160392,1,3,10224.528684,0,100000,1299.282814,188537,0,0,188537,2021-08-10.20:35:35
wikitalk,2394385,5021410,1,3,603.210776,0,100000,381.978599,99842,0,0,99842,2021-08-10.20:35:39
wiki_talk_en,2987536,24981163,1,3,887.903088,0,100000,43267.278863,101350,0,0,101350,2021-08-10.20:36:30
ba-1m-8m,1000000,7999964,1,2,774.819272,100000,0,1852.886140,22085,111578,1841048,0,2021-08-10.20:36:58
baidu,2141301,17794839,1,2,1722.465958,100000,0,438.278117,98448,118967,9900353,0,2021-08-10.20:37:33
dbpedia,3966925,13820853,1,2,2210.360549,100000,0,420.401828,101436,117552,1559489,0,2021-08-10.20:38:05
er-1m-8m,1000000,8000000,1,2,994.704059,100000,0,662.580755,40150,55709,670044,0,2021-08-10.20:38:36
livej,4847571,68993773,1,2,5248.979445,100000,0,591.713296,112347,139862,11052849,0,2021-08-10.20:39:53
patent,6009555,16518948,1,2,3673.954468,100000,0,1161.888555,107543,157120,2415863,0,2021-08-10.20:40:50
pokec,1632804,30622564,1,2,1923.801057,100000,0,611.174083,86848,126894,6047039,0,2021-08-10.20:41:30
rmat-1m-8m,999760,7810950,1,2,550.055282,100000,0,386.510769,100427,120180,30492244,0,2021-08-10.20:41:35
ssca2,1048577,157877986,1,2,1382.544035,100000,0,2447.837624,1587116,1647988,125163041,0,2021-08-10.20:43:07
wiki-links,5710993,130160392,1,2,10752.400956,100000,0,1874.412623,188405,206977,57794196,0,2021-08-10.20:46:13
wikitalk,2394385,5021410,1,2,780.547704,100000,0,668.715704,100533,105620,14379915,0,2021-08-10.20:46:18
wiki_talk_en,2987536,24981163,1,2,1284.551709,100000,0,742.887126,100022,105663,21233401,0,2021-08-10.20:46:29
ba-1m-8m,1000000,7999964,1,3,837.053485,100000,0,302.102257,21786,166921,1849840,357359,2021-08-10.20:46:40
baidu,2141301,17794839,1,3,1741.842390,100000,0,266.970187,98608,132592,9984673,812630,2021-08-10.20:47:15
dbpedia,3966925,13820853,1,3,1950.302145,100000,0,159.358534,100372,127478,2174478,1120682,2021-08-10.20:48:31
er-1m-8m,1000000,8000000,1,3,1185.233666,100000,0,104.029763,39444,66663,661965,451258,2021-08-10.20:48:48
livej,4847571,68993773,1,3,5473.555487,100000,0,504.851518,113651,160072,11448091,783767,2021-08-10.20:50:17
patent,6009555,16518948,1,3,3761.126797,100000,0,282.081255,107066,182093,2374216,1031239,2021-08-10.20:52:26
pokec,1632804,30622564,1,3,2334.439460,100000,0,273.056422,86226,146933,5955508,736407,2021-08-10.20:53:00
rmat-1m-8m,999760,7810950,1,3,530.369828,100000,0,441.317711,100490,134349,30952781,634154,2021-08-10.20:53:06
ssca2,1048577,157877986,1,3,2065.468540,100000,0,11606.404434,1591282,1680619,126032911,11958765,2021-08-10.20:54:35
wiki-links,5710993,130160392,1,3,9925.099011,100000,0,5099.868620,183145,210646,53696357,757563,2021-08-10.20:57:54
wikitalk,2394385,5021410,1,3,603.140578,100000,0,303.238583,100548,109535,14643675,1075463,2021-08-10.20:58:18
wiki_talk_en,2987536,24981163,1,3,870.913365,100000,0,525.768832,101051,110521,25659733,942819,2021-08-10.20:58:50
ba-1m-8m,1000000,7999964,1,2,772.171675,0,100000,329.458913,21896,0,0,0,2021-08-10.20:59:17
baidu,2141301,17794839,1,2,1705.806918,0,100000,442.746216,97964,0,0,0,2021-08-10.20:59:52
dbpedia,3966925,13820853,1,2,2212.361932,0,100000,886.752599,101302,0,0,0,2021-08-10.21:00:26
er-1m-8m,1000000,8000000,1,2,1109.133210,0,100000,465.967486,39068,0,0,0,2021-08-10.21:00:58
