model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,764.593754,100000,0,1509.388960,22043,111705,1866133,0,-1,2021-08-19.17:05:55
baidu,2141301,17794839,1,2,1661.268038,100000,0,1376.172085,98021,118612,9860754,0,-1,2021-08-19.17:06:31
dbpedia,3966925,13820853,1,2,2197.600529,100000,0,580.453995,101796,118895,1777323,0,-1,2021-08-19.17:06:56
er-1m-8m,1000000,8000000,1,2,1025.162966,100000,0,435.048067,39112,54373,653329,0,-1,2021-08-19.17:07:18
livej,4847571,68993773,1,2,5067.072359,100000,0,1051.158408,108872,136105,10245515,0,-1,2021-08-19.17:08:33
patent,6009555,16518948,1,2,3668.811197,100000,0,822.200785,105879,154995,2335870,0,-1,2021-08-19.17:09:23
pokec,1632804,30622564,1,2,1987.377382,100000,0,787.867691,86479,127095,6134616,0,-1,2021-08-19.17:10:02
rmat-1m-8m,999760,7810950,1,2,540.756964,100000,0,475.507653,100581,120910,31116040,0,-1,2021-08-19.17:10:09
ssca2,1048577,157877986,1,2,1343.945332,100000,0,2429.583877,1595320,1655433,125899770,0,-1,2021-08-19.17:11:44
wiki-links,5710993,130160392,1,2,10218.476998,100000,0,1685.687117,183450,199780,58794760,0,-1,2021-08-19.17:14:43
wikitalk,2394385,5021410,1,2,779.604298,100000,0,409.911239,100725,105813,14466239,0,-1,2021-08-19.17:14:55
wiki_talk_en,2987536,24981163,1,2,1072.181420,100000,0,536.258918,99894,105646,21301959,0,-1,2021-08-19.17:15:17
ba-1m-8m,1000000,7999964,1,3,1368.731548,100000,0,317.271328,21929,166211,1848195,356312,-1,2021-08-19.17:15:24
baidu,2141301,17794839,1,3,1727.949845,100000,0,279.952410,98841,133570,10335271,811507,-1,2021-08-19.17:15:56
dbpedia,3966925,13820853,1,3,1978.945800,100000,0,148.838355,100976,127836,1745967,1121631,-1,2021-08-19.17:16:16
er-1m-8m,1000000,8000000,1,3,1596.068044,100000,0,112.940192,39037,66113,656887,426456,-1,2021-08-19.17:16:28
livej,4847571,68993773,1,3,5652.211535,100000,0,501.310867,112277,158641,11528582,769092,-1,2021-08-19.17:17:30
patent,6009555,16518948,1,3,4018.615418,100000,0,280.184273,107818,184001,2487639,1020658,-1,2021-08-19.17:18:10
pokec,1632804,30622564,1,3,2163.903334,100000,0,272.120858,86708,149402,6236356,721542,-1,2021-08-19.17:18:41
rmat-1m-8m,999760,7810950,1,3,642.688102,100000,0,541.506981,99478,132584,28584567,636460,-1,2021-08-19.17:18:46
ssca2,1048577,157877986,1,3,2230.390579,100000,0,11270.970688,1596197,1688102,126407449,12124340,-1,2021-08-19.17:20:10
