model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,729.243213,100000,0,1261.064288,22238,112210,1846452,0,-1,2021-08-20.13:44:10
baidu,2141301,17794839,1,2,1615.818215,100000,0,415.121869,98320,119124,9813784,0,-1,2021-08-20.13:44:39
dbpedia,3966925,13820853,1,2,1692.777744,100000,0,321.759778,101849,117824,1624100,0,-1,2021-08-20.13:44:59
er-1m-8m,1000000,8000000,1,2,962.234065,100000,0,333.808306,39521,54953,660512,0,-1,2021-08-20.13:45:17
livej,4847571,68993773,1,2,4882.229440,100000,0,511.074000,114434,142251,11523639,0,-1,2021-08-20.13:46:15
patent,6009555,16518948,1,2,3500.649685,100000,0,676.999582,107417,158108,2417797,0,-1,2021-08-20.13:46:56
pokec,1632804,30622564,1,2,1825.725852,100000,0,520.597215,85298,125134,5950190,0,-1,2021-08-20.13:47:25
rmat-1m-8m,999760,7810950,1,2,435.616656,100000,0,339.811831,99493,119558,28366191,0,-1,2021-08-20.13:47:31
ssca2,1048577,157877986,1,2,1048.339747,100000,0,2165.998156,1593164,1651678,125394208,0,-1,2021-08-20.13:48:35
wiki-links,5710993,130160392,1,2,9745.399845,100000,0,1027.682274,188294,204811,54919365,0,-1,2021-08-20.13:50:59
wikitalk,2394385,5021410,1,2,557.023589,100000,0,299.799986,100429,105759,14694125,0,-1,2021-08-20.13:51:03
wiki_talk_en,2987536,24981163,1,2,785.646703,100000,0,403.686369,99969,105648,21047529,0,-1,2021-08-20.13:51:12
ba-1m-8m,1000000,7999964,1,3,755.233562,100000,0,261.562954,21950,167195,1851109,368051,-1,2021-08-20.13:51:18
baidu,2141301,17794839,1,3,1337.103766,100000,0,219.713419,99060,132868,10085339,817565,-1,2021-08-20.13:51:43
dbpedia,3966925,13820853,1,3,1627.425782,100000,0,137.315707,100950,128075,1867861,1111357,-1,2021-08-20.13:52:00
er-1m-8m,1000000,8000000,1,3,1085.200169,100000,0,96.814696,39860,66917,666972,433175,-1,2021-08-20.13:52:09
livej,4847571,68993773,1,3,4850.499043,100000,0,401.910048,110504,157275,11062482,758571,-1,2021-08-20.13:53:01
patent,6009555,16518948,1,3,3541.199716,100000,0,239.275667,106193,182154,2401891,1018955,-1,2021-08-20.13:53:34
pokec,1632804,30622564,1,3,1881.069407,100000,0,230.289438,86857,148061,6135214,728372,-1,2021-08-20.13:53:59
rmat-1m-8m,999760,7810950,1,3,390.707757,100000,0,346.127835,99348,132554,28377899,636771,-1,2021-08-20.13:54:04
ssca2,1048577,157877986,1,3,1971.498731,100000,0,11260.858574,1584422,1675550,125717839,11933074,-1,2021-08-20.13:55:11
wiki-links,5710993,130160392,1,3,10010.512939,100000,0,5007.250831,189066,221649,60296428,778023,-1,2021-08-20.13:57:31
wikitalk,2394385,5021410,1,3,465.065157,100000,0,255.942109,100609,109223,14777866,1066096,-1,2021-08-20.13:57:34
wiki_talk_en,2987536,24981163,1,3,677.406013,100000,0,371.344356,100143,109713,21490020,958031,-1,2021-08-20.13:57:42
ba-1m-8m,1000000,7999964,1,2,655.887110,0,100000,249.344434,21883,0,153406,0,-1,2021-08-20.13:57:58
baidu,2141301,17794839,1,2,1395.803205,0,100000,373.995322,98856,0,6061279,0,-1,2021-08-20.13:58:24
dbpedia,3966925,13820853,1,2,1692.604363,0,100000,792.754084,101255,0,1035324,0,-1,2021-08-20.13:58:45
er-1m-8m,1000000,8000000,1,2,960.138145,0,100000,379.059068,39653,0,436504,0,-1,2021-08-20.13:59:03
livej,4847571,68993773,1,2,4997.429798,0,100000,354.906824,112734,0,8535858,0,-1,2021-08-20.14:00:00
patent,6009555,16518948,1,2,3494.175526,0,100000,361.766359,106304,0,1477890,0,-1,2021-08-20.14:00:41
pokec,1632804,30622564,1,2,1854.304833,0,100000,337.928452,86144,0,3466310,0,-1,2021-08-20.14:01:10
rmat-1m-8m,999760,7810950,1,2,434.678117,0,100000,366.626186,100649,0,22831295,0,-1,2021-08-20.14:01:15
ssca2,1048577,157877986,1,2,1033.494333,0,100000,1711.930700,1587205,0,120111376,0,-1,2021-08-20.14:02:19
wiki-links,5710993,130160392,1,2,9829.075739,0,100000,1069.289550,183911,0,49093325,0,-1,2021-08-20.14:04:43
wikitalk,2394385,5021410,1,2,559.814008,0,100000,375.381093,100468,0,11052574,0,-1,2021-08-20.14:04:47
wiki_talk_en,2987536,24981163,1,2,786.702205,0,100000,672.599002,100010,0,17309053,0,-1,2021-08-20.14:04:56
ba-1m-8m,1000000,7999964,1,3,741.559431,0,100000,36.401969,21982,0,308420,21982,-1,2021-08-20.14:05:02
baidu,2141301,17794839,1,3,1332.883443,0,100000,233.294093,98820,0,12009208,98820,-1,2021-08-20.14:05:27
dbpedia,3966925,13820853,1,3,1616.850732,0,100000,553.055364,101292,0,2161406,101292,-1,2021-08-20.14:05:44
er-1m-8m,1000000,8000000,1,3,1097.658954,0,100000,41.375171,39312,0,865056,39312,-1,2021-08-20.14:05:53
livej,4847571,68993773,1,3,4854.433583,0,100000,188.754327,115615,0,18370824,115615,-1,2021-08-20.14:06:45
patent,6009555,16518948,1,3,3564.879908,0,100000,82.739841,107317,0,2964560,107317,-1,2021-08-20.14:07:18
pokec,1632804,30622564,1,3,1872.019240,0,100000,113.888077,85976,0,6868460,85976,-1,2021-08-20.14:07:42
rmat-1m-8m,999760,7810950,1,3,392.570700,0,100000,344.699105,100436,0,45960674,100436,-1,2021-08-20.14:07:47
ssca2,1048577,157877986,1,3,1966.124364,0,100000,1049.624986,1582980,0,239365542,1582980,-1,2021-08-20.14:08:44
wiki-links,5710993,130160392,1,3,10417.046907,0,100000,995.013746,189824,0,103258974,189824,-1,2021-08-20.14:11:00
wikitalk,2394385,5021410,1,3,465.361048,0,100000,323.579518,100674,0,21946314,100674,-1,2021-08-20.14:11:03
wiki_talk_en,2987536,24981163,1,3,680.131418,0,100000,621.049542,100106,0,34376794,100106,-1,2021-08-20.14:11:11
ba-1m-8m,1000000,7999964,1,2,656.064478,100000,0,1206.254848,22084,112400,1860501,0,-1,2021-08-20.14:11:28
baidu,2141301,17794839,1,2,1390.302569,100000,0,384.957807,98952,120342,10057881,0,-1,2021-08-20.14:11:54
dbpedia,3966925,13820853,1,2,1685.996729,100000,0,326.650255,101421,117875,1749524,0,-1,2021-08-20.14:12:14
er-1m-8m,1000000,8000000,1,2,956.371762,100000,0,331.486935,39230,54860,660398,0,-1,2021-08-20.14:12:33
livej,4847571,68993773,1,2,5071.722012,100000,0,603.447312,115293,143169,11491951,0,-1,2021-08-20.14:13:31
patent,6009555,16518948,1,2,3505.336908,100000,0,672.563624,105743,156384,2380116,0,-1,2021-08-20.14:14:13
pokec,1632804,30622564,1,2,1819.366613,100000,0,521.244110,85837,126418,6039953,0,-1,2021-08-20.14:14:41
rmat-1m-8m,999760,7810950,1,2,434.862546,100000,0,357.126770,100680,121092,31101096,0,-1,2021-08-20.14:14:47
ssca2,1048577,157877986,1,2,1043.447510,100000,0,2155.775286,1594338,1656927,125772368,0,-1,2021-08-20.14:15:51
wiki-links,5710993,130160392,1,2,9665.627407,100000,0,1031.797322,190681,206612,56128820,0,-1,2021-08-20.14:18:14
wikitalk,2394385,5021410,1,2,561.395269,100000,0,305.889969,100518,105729,14624570,0,-1,2021-08-20.14:18:18
wiki_talk_en,2987536,24981163,1,2,786.268892,100000,0,462.017891,101041,106939,26083727,0,-1,2021-08-20.14:18:27
ba-1m-8m,1000000,7999964,1,3,748.253180,100000,0,256.321028,22075,165836,1837673,363991,-1,2021-08-20.14:18:34
