model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
ba-1m-8m,1000000,7999964,1,2,674.873454,100000,0,1225.146831,22032,112247,1879682,0,-1,2021-09-15.21:33:44
baidu,2141301,17794839,1,2,1370.424219,100000,0,397.822447,98962,120460,10361681,0,-1,2021-09-15.21:34:11
dbpedia,3966925,13820853,1,2,1665.753646,100000,0,326.203631,101493,117657,1794476,0,-1,2021-09-15.21:34:31
er-1m-8m,1000000,8000000,1,2,1113.977832,100000,0,344.717293,39931,55580,668674,0,-1,2021-09-15.21:34:50
livej,4847571,68993773,1,2,4946.480513,100000,0,514.455987,113898,141441,11418392,0,-1,2021-09-15.21:35:47
patent,6009555,16518948,1,2,3487.780282,100000,0,681.966270,107764,158824,2429035,0,-1,2021-09-15.21:36:28
pokec,1632804,30622564,1,2,1769.629650,100000,0,528.241910,85951,126334,6009962,0,-1,2021-09-15.21:36:57
rmat-1m-8m,999760,7810950,1,2,419.513245,100000,0,362.921965,100678,120877,31047330,0,-1,2021-09-15.21:37:03
roadNetCA,1971281,5533214,1,2,616.139859,100000,0,453.834730,61611,203473,616577,0,-1,2021-09-15.21:37:09
ssca2,1048577,157877986,1,2,1236.866328,100000,0,2191.363330,1588505,1649024,125127609,0,-1,2021-09-15.21:38:14
wiki-links,5710993,130160392,1,2,9338.104238,100000,0,1062.948600,191454,207835,56390041,0,-1,2021-09-15.21:40:38
wikitalk,2394385,5021410,1,2,535.966234,100000,0,295.593905,100670,106001,14532150,0,-1,2021-09-15.21:40:42
wiki_talk_en,2987536,24981163,1,2,746.114972,100000,0,396.730663,99909,105487,21071762,0,-1,2021-09-15.21:40:50
ba-1m-8m,1000000,7999964,1,3,754.477950,100000,0,164.536278,-33163,166336,1855076,297457,-1,2021-09-15.21:40:56
baidu,2141301,17794839,1,3,1315.547878,100000,0,209.582423,86183,132782,10186484,663582,[0m,,2021-09-15.21:41:21
dbpedia,3966925,13820853,1,3,1610.241646,100000,0,127.748591,91013,128146,1671892,920518,[0m,,2021-09-15.21:41:36
er-1m-8m,1000000,8000000,1,3,1257.965793,100000,0,87.669389,27904,66636,663215,395840,-1,2021-09-15.21:41:45
livej,4847571,68993773,1,3,4819.860678,100000,0,243.453313,93945,157167,11169605,688103,-1,2021-09-15.21:42:37
patent,6009555,16518948,1,3,3533.819105,100000,0,202.016897,82391,185108,2528285,928868,-1,2021-09-15.21:43:10
pokec,1632804,30622564,1,3,1847.493029,100000,0,191.653172,63563,146239,5978730,629319,[0m,,2021-09-15.21:43:35
rmat-1m-8m,999760,7810950,1,3,390.828449,100000,0,279.894480,87360,133985,30931379,510173,[0m,,2021-09-15.21:43:40
roadNetCA,1971281,5533214,1,3,578.738873,100000,0,99.877020,13967,254208,622401,824483,-1,2021-09-15.21:43:44
ssca2,1048577,157877986,1,3,2177.162589,100000,0,2407.118153,1530772,1679758,125841103,11806788,[0m,,2021-09-15.21:44:43
wiki-links,5710993,130160392,1,3,9888.401425,100000,0,768.532249,173898,216778,54366355,673499,-1,2021-09-15.21:46:58
wikitalk,2394385,5021410,1,3,461.347235,100000,0,214.465798,97147,109567,14502851,792059,[0m,,2021-09-15.21:47:00
wiki_talk_en,2987536,24981163,1,3,676.420196,100000,0,328.405699,97428,110952,25634826,679914,[0m,,2021-09-15.21:47:07
ba-1m-8m,1000000,7999964,1,2,624.817648,0,100000,251.483912,22173,0,310944,0,-1,2021-09-15.21:47:23
baidu,2141301,17794839,1,2,1335.340653,0,100000,369.539334,98301,0,11776028,0,-1,2021-09-15.21:47:49
dbpedia,3966925,13820853,1,2,1614.814855,0,100000,790.875358,100596,0,2093958,0,-1,2021-09-15.21:48:09
er-1m-8m,1000000,8000000,1,2,1092.122718,0,100000,371.275969,39710,0,875152,0,-1,2021-09-15.21:48:27
livej,4847571,68993773,1,2,4729.706621,0,100000,351.828926,112854,0,16586826,0,-1,2021-09-15.21:49:24
patent,6009555,16518948,1,2,3357.754780,0,100000,361.659542,106562,0,2970512,0,-1,2021-09-15.21:50:04
pokec,1632804,30622564,1,2,1756.247610,0,100000,332.631129,85378,0,6721676,0,-1,2021-09-15.21:50:33
rmat-1m-8m,999760,7810950,1,2,417.706130,0,100000,346.851470,99226,0,40392888,0,-1,2021-09-15.21:50:38
roadNetCA,1971281,5533214,1,2,609.095468,0,100000,183.102218,61254,0,193292,0,-1,2021-09-15.21:50:45
ssca2,1048577,157877986,1,2,1207.173975,0,100000,1784.176971,1588293,0,240418922,0,-1,2021-09-15.21:51:49
wiki-links,5710993,130160392,1,2,9290.391067,0,100000,1096.913130,186382,0,100846974,0,-1,2021-09-15.21:54:12
wikitalk,2394385,5021410,1,2,530.778405,0,100000,359.327162,100046,0,18815978,0,-1,2021-09-15.21:54:16
wiki_talk_en,2987536,24981163,1,2,751.173873,0,100000,723.084989,101164,0,42436140,0,-1,2021-09-15.21:54:24
ba-1m-8m,1000000,7999964,1,3,747.901794,0,100000,34.241756,22072,0,154753,22072,-1,2021-09-15.21:54:31
baidu,2141301,17794839,1,3,1342.095332,0,100000,242.315162,98464,0,5947570,98464,-1,2021-09-15.21:54:55
dbpedia,3966925,13820853,1,3,1613.552451,0,100000,557.070251,101027,0,1143981,101027,-1,2021-09-15.21:55:12
er-1m-8m,1000000,8000000,1,3,1258.573010,0,100000,39.758361,39706,0,437150,39706,-1,2021-09-15.21:55:21
