model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
ba-1m-8m,1000000,7999964,0,4,507.043756,100000,0,392.674062,22035,166225,1855695,0,0,89354,-1,-1,-1,2022-09-22.16:41:22
ba-1m-8m,1000000,7999964,0,4,476.576744,0,100000,69.790776,22035,0,154493,0,0,0,-1,-1,-1,2022-09-22.16:41:26
ba-1m-8m,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19473.6,223.452,2022-09-22.16:42:00
baidu,2141301,17794839,0,4,1437.181136,100000,0,509.383175,98204,131683,9720031,4,4,20732,-1,-1,-1,2022-09-22.16:42:30
baidu,2141301,17794839,0,4,1434.573997,0,100000,423.640019,98204,0,5854018,0,0,0,-1,-1,-1,2022-09-22.16:42:59
baidu,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,955.533,346.995,2022-09-22.16:43:31
dbpedia,3966925,13820853,0,4,1861.984574,100000,0,212.919439,100897,127788,1688737,15,15,16609,-1,-1,-1,2022-09-22.16:43:51
dbpedia,3966925,13820853,0,4,1860.346635,0,100000,945.921914,100897,0,907823,0,0,0,-1,-1,-1,2022-09-22.16:44:10
dbpedia,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1221.72,323.702,2022-09-22.16:44:40
er-1m-8m,1000000,8000000,0,4,755.951639,100000,0,112.256588,39067,65652,652680,0,0,15246,-1,-1,-1,2022-09-22.16:44:52
er-1m-8m,1000000,8000000,0,4,764.171903,0,100000,83.554863,39067,0,429513,0,0,0,-1,-1,-1,2022-09-22.16:45:02
er-1m-8m,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1916.44,189.986,2022-09-22.16:45:18
livej,4847571,68993773,0,4,4711.696498,100000,0,523.011924,114343,160115,11611733,6,6,27945,-1,-1,-1,2022-09-22.16:46:21
livej,4847571,68993773,0,4,4713.794705,0,100000,294.070173,114343,0,8810609,0,0,0,-1,-1,-1,2022-09-22.16:47:21
livej,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1906,375.937,2022-09-22.16:48:58
patent,6009555,16518948,0,4,3479.320357,100000,0,318.898166,105994,181783,2412847,26,28,50757,-1,-1,-1,2022-09-22.16:49:41
patent,6009555,16518948,0,4,3492.541202,0,100000,146.915803,105994,0,1491313,0,0,0,-1,-1,-1,2022-09-22.16:50:21
patent,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3532.25,287.345,2022-09-22.16:51:08
pokec,1632804,30622564,0,4,1571.068938,100000,0,418.046739,85001,146159,5823693,31,33,40189,-1,-1,-1,2022-09-22.16:51:39
pokec,1632804,30622564,0,4,1549.717623,0,100000,196.305360,85001,0,3240928,0,0,0,-1,-1,-1,2022-09-22.16:52:07
pokec,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2598.6,322.043,2022-09-22.16:52:54
rmat-1m-8m,999760,7810950,0,4,422.162125,100000,0,700.624844,100572,133889,31016617,10,10,20284,-1,-1,-1,2022-09-22.16:52:59
rmat-1m-8m,999760,7810950,0,4,426.362645,0,100000,666.049574,100572,0,22740887,0,0,0,-1,-1,-1,2022-09-22.16:53:02
rmat-1m-8m,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1947.39,748.302,2022-09-22.16:53:15
wiki-links,5710993,130160392,0,4,8729.166298,100000,0,2248.756456,187714,217566,63776843,58,63,18535,-1,-1,-1,2022-09-22.16:55:57
wiki-links,5710993,130160392,0,4,8726.902439,0,100000,1856.125918,187714,0,56223559,0,0,0,-1,-1,-1,2022-09-22.16:58:32
wiki-links,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3040.58,1043.65,2022-09-22.17:03:02
wikitalk,2394385,5021410,0,4,371.315921,100000,0,615.880911,100643,109450,14645967,3,3,5363,-1,-1,-1,2022-09-22.17:03:06
wikitalk,2394385,5021410,0,4,368.076916,0,100000,724.470780,100643,0,11054790,0,0,0,-1,-1,-1,2022-09-22.17:03:09
wikitalk,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,819.205,331.959,2022-09-22.17:03:17
wiki_talk_en,2987536,24981163,0,4,652.187665,100000,0,1017.313932,101184,110831,25857504,1,1,5859,-1,-1,-1,2022-09-22.17:03:25
wiki_talk_en,2987536,24981163,0,4,656.228801,0,100000,1418.223350,101184,0,21311531,0,0,0,-1,-1,-1,2022-09-22.17:03:33
wiki_talk_en,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2221.9,784.354,2022-09-22.17:03:49
ba-1m-8m,1000000,7999964,1,4,505.994715,100000,0,395.069396,22035,166225,1855695,0,0,89354,-1,-1,-1,2022-09-22.17:03:55
ba-1m-8m,1000000,7999964,1,4,481.882011,0,100000,71.754750,22035,0,154493,0,0,0,-1,-1,-1,2022-09-22.17:03:58
ba-1m-8m,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19646.9,231.912,2022-09-22.17:04:32
baidu,2141301,17794839,1,4,1451.439983,100000,0,518.042381,98204,131683,9720031,4,4,20732,-1,-1,-1,2022-09-22.17:05:03
baidu,2141301,17794839,1,4,1448.374340,0,100000,428.855773,98204,0,5854018,0,0,0,-1,-1,-1,2022-09-22.17:05:32
