model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
rmat-1m-8m,999760,7810950,1,3,379.448995,100000,0,267.450437,99503,133417,28866258,632690,-1,-1,2021-09-27.15:46:05
rmat-1m-8m,999760,7810950,1,13,383.984232,100000,0,258.437491,99503,117942,23441922,109649,9,-1,2021-09-27.15:52:12
rmat-1m-8m,999760,7810950,1,2,419.778453,100000,0,341.602553,99503,119821,28592004,0,-1,-1,2021-09-27.16:29:00
rmat-1m-8m,999760,7810950,1,3,384.7141,0,100000,365.302529,99503,0,20375246,99503,-1,-1,2021-09-27.16:35:32
rmat-1m-8m,999760,7810950,1,2,424.295448,0,100000,356.63464,99503,0,40750492,0,-1,-1,2021-09-27.16:42:21
rmat-1m-8m,999760,7810950,1,3,385.159349,100000,0,263.160453,99503,133417,28866258,632690,-1,-1,2021-09-27.16:48:49
rmat-1m-8m,999760,7810950,1,13,381.28025,100000,0,257.560103,99503,117942,23441922,109649,9,-1,2021-09-27.16:54:55
rmat-1m-8m,999760,7810950,1,2,416.98078,100000,0,337.837634,99503,119821,28592004,0,-1,-1,2021-09-27.17:31:41
rmat-1m-8m,999760,7810950,1,3,385.474051,0,100000,362.371056,99503,0,20375246,99503,-1,-1,2021-09-27.17:38:07
rmat-1m-8m,999760,7810950,1,2,420.758186,0,100000,351.925971,99503,0,40750492,0,-1,-1,2021-09-27.17:44:55
rmat-1m-8m,999760,7810950,1,3,379.142406,100000,0,264.040164,99503,133417,28866258,632690,-1,-1,2021-09-27.17:51:21
rmat-1m-8m,999760,7810950,1,13,380.601379,100000,0,258.764294,99503,117942,23441922,109649,9,-1,2021-09-27.17:57:26
rmat-1m-8m,999760,7810950,1,2,417.510228,100000,0,337.348547,99503,119821,28592004,0,-1,-1,2021-09-27.18:34:12
rmat-1m-8m,999760,7810950,1,3,384.956678,0,100000,361.677684,99503,0,20375246,99503,-1,-1,2021-09-27.18:40:39
rmat-1m-8m,999760,7810950,1,2,420.214738,0,100000,352.986567,99503,0,40750492,0,-1,-1,2021-09-27.18:47:26
rmat-1m-8m,999760,7810950,1,3,382.19889,100000,0,263.731932,99503,133417,28866258,632690,-1,-1,2021-09-27.18:53:51
rmat-1m-8m,999760,7810950,1,13,379.11165,100000,0,257.946397,99503,117942,23441922,109649,9,-1,2021-09-27.18:59:57
