model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
ba-1m-8m,1000000,7999964,1,3,737.253976,100000,0,187.028528,22064,166743,1882400,362148,-1,-1,2021-09-29.14:24:19
baidu,2141301,17794839,1,3,1700.539509,100000,0,274.001896,98950,133889,10441276,817731,-1,-1,2021-09-29.14:24:52
dbpedia,3966925,13820853,1,3,1874.422750,100000,0,156.277371,101664,128784,1651922,1126180,-1,-1,2021-09-29.14:25:12
er-1m-8m,1000000,8000000,1,3,1032.850990,100000,0,106.978630,39387,66365,659400,423926,-1,-1,2021-09-29.14:25:23
livej,4847571,68993773,1,3,5612.191410,100000,0,327.633538,112029,158806,11180273,774457,-1,-1,2021-09-29.14:26:27
patent,6009555,16518948,1,3,3612.149828,100000,0,227.953678,106211,182376,2393857,1031067,-1,-1,2021-09-29.14:27:05
pokec,1632804,30622564,1,3,2032.229799,100000,0,231.398327,86008,147874,6066697,721815,-1,-1,2021-09-29.14:27:35
rmat-1m-8m,999760,7810950,1,3,472.933349,100000,0,320.756357,100515,133434,30996837,637493,-1,-1,2021-09-29.14:27:40
ssca2,1048577,157877986,1,3,1303.861082,100000,0,2591.260271,1586706,1677393,125864802,11957956,-1,-1,2021-09-29.14:28:54
wiki-links,5710993,130160392,1,3,10626.955708,100000,0,888.035922,187208,216352,55488694,766647,-1,-1,2021-09-29.14:31:36
wikitalk,2394385,5021410,1,3,658.947267,100000,0,300.525441,99949,108561,12890796,1066896,-1,-1,2021-09-29.14:31:40
wiki_talk_en,2987536,24981163,1,3,1179.470121,100000,0,414.939989,100112,109539,21366789,967175,-1,-1,2021-09-29.14:31:48
ba-1m-8m,1000000,7999964,1,13,837.586882,100000,0,694.754061,21819,156603,1723205,104252,4,-1,2021-09-29.14:31:55
baidu,2141301,17794839,1,13,1589.666097,100000,0,364.794849,102437,127344,12513936,116584,5,-1,2021-09-29.14:32:26
dbpedia,3966925,13820853,1,13,1916.918222,100000,0,164.404488,101843,125276,1518661,115637,4,[0m,,2021-09-29.14:32:44
er-1m-8m,1000000,8000000,1,13,1130.574718,100000,0,127.807677,39050,62121,625337,53122,5,-1,2021-09-29.14:32:55
livej,4847571,68993773,1,13,5554.271107,100000,0,372.491555,114582,153966,10839562,137740,5,-1,2021-09-29.14:33:57
patent,6009555,16518948,1,13,3551.194259,100000,0,269.929044,105251,170090,2185976,146633,4,[0m,,2021-09-29.14:34:34
pokec,1632804,30622564,1,13,2231.445555,100000,0,287.443439,86176,133911,5173137,115380,3,-1,2021-09-29.14:35:05
rmat-1m-8m,999760,7810950,1,13,614.070160,100000,0,485.958759,101031,119652,25973154,111303,9,-1,2021-09-29.14:35:10
ssca2,-1,-1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-09-29.15:05:10
wiki-links,-1,-1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-09-29.15:35:11
wikitalk,2394385,5021410,1,13,615.801271,100000,0,261.953761,100575,105542,12470764,103318,9,-1,2021-09-29.15:35:14
wiki_talk_en,2987536,24981163,1,13,1197.494794,100000,0,412.471360,101315,106525,23319902,104198,9,-1,2021-09-29.15:35:23
ba-1m-8m,1000000,7999964,1,2,986.529005,100000,0,1718.569515,22168,111381,1858276,0,-1,-1,2021-09-29.15:35:41
baidu,2141301,17794839,1,2,1736.855675,100000,0,452.941046,98853,119321,9614671,0,-1,-1,2021-09-29.15:36:14
dbpedia,3966925,13820853,1,2,2075.402166,100000,0,364.657088,100932,117106,1698976,0,-1,-1,2021-09-29.15:36:49
er-1m-8m,1000000,8000000,1,2,984.872908,100000,0,378.814667,39290,54766,659401,0,-1,-1,2021-09-29.15:37:11
livej,4847571,68993773,1,2,4946.874584,100000,0,572.128857,109366,136560,10311432,0,-1,-1,2021-09-29.15:38:17
patent,6009555,16518948,1,2,3526.985029,100000,0,788.739377,105674,155712,2373282,0,-1,-1,2021-09-29.15:39:04
pokec,1632804,30622564,1,2,1912.996914,100000,0,659.878517,86124,127186,6118765,0,-1,-1,2021-09-29.15:39:39
rmat-1m-8m,999760,7810950,1,2,520.926045,100000,0,435.476845,100300,120684,30913374,0,-1,-1,2021-09-29.15:39:47
ssca2,1048577,157877986,1,2,1293.892602,100000,0,2455.329201,1593820,1655644,125660077,0,-1,-1,2021-09-29.15:41:09
wiki-links,5710993,130160392,1,2,8685.792568,100000,0,1160.422567,184689,201593,55892392,0,-1,-1,2021-09-29.15:43:58
wikitalk,2394385,5021410,1,2,736.796335,100000,0,368.760566,100519,105604,14731095,0,-1,-1,2021-09-29.15:44:13
wiki_talk_en,2987536,24981163,1,2,1256.414869,100000,0,559.586728,101159,106959,25936268,0,-1,-1,2021-09-29.15:44:28
ba-1m-8m,1000000,7999964,1,3,919.106352,0,100000,45.493502,22076,0,154916,22076,-1,-1,2021-09-29.15:44:33
baidu,2141301,17794839,1,3,1681.447011,0,100000,298.079386,99233,0,6265882,99233,-1,-1,2021-09-29.15:45:04
