model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
DBLP,1824702,8344615,1,4,939.608059,100000,0,79.609351,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.16:46:52
DBLP,1824702,8344615,1,4,951.477814,0,100000,55.246156,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.16:47:09
DBLP,1824702,8344615,0,4,930.790077,100000,0,75.937418,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.16:47:51
DBLP,1824702,8344615,0,4,936.731702,0,100000,51.660800,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.16:48:08
DBLP,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,838.083,157.631,2022-09-30.16:48:44
DBLP,1824702,8344615,0,4,927.754893,100000,0,75.334951,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.16:50:17
DBLP,1824702,8344615,0,4,934.584523,0,100000,51.799620,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.16:50:35
DBLP,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,863.451,154.097,2022-09-30.16:51:10
Flickr,2302926,22838276,0,4,1263.738739,100000,0,237.048624,110044,130351,10818444,1,1,11089,-1,-1,-1,2022-09-30.16:51:48
Flickr,2302926,22838276,0,4,1282.587836,0,100000,168.259960,110044,0,8642827,0,0,0,-1,-1,-1,2022-09-30.16:52:25
Flickr,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2804.36,394.457,2022-09-30.16:53:34
StackOverflow,2601978,28183518,0,4,2271.894090,100000,0,1564.766027,101477,176306,43483076,9,10,47318,-1,-1,-1,2022-09-30.16:54:45
StackOverflow,2601978,28183518,0,4,2279.674872,0,100000,839.829275,101477,0,24803420,0,0,0,-1,-1,-1,2022-09-30.16:55:52
StackOverflow,-1,-1,0,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,7016.03,880.767,2022-09-30.16:57:59
wiki-edits-sh,4579815,6265043,0,4,272.234109,100000,0,1741.854992,100867,116956,78568581,2,2,10631,-1,-1,-1,2022-09-30.16:58:10
wiki-edits-sh,4579815,6265043,0,4,271.894219,0,100000,1796.235414,100867,0,43642478,0,0,0,-1,-1,-1,2022-09-30.16:58:20
wiki-edits-sh,-1,-1,0,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:01:28
DBLP,1824702,8344615,1,4,940.018688,100000,0,79.193244,118187,148070,1159137,0,0,16716,-1,-1,-1,2022-09-30.17:01:46
DBLP,1824702,8344615,1,4,946.814145,0,100000,53.880388,118187,0,656630,0,0,0,-1,-1,-1,2022-09-30.17:02:03
DBLP,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,849.176,137.202,2022-09-30.17:02:39
Flickr,2302926,22838276,1,4,1273.670692,100000,0,238.201741,110044,130351,10818444,1,1,11089,-1,-1,-1,2022-09-30.17:03:17
Flickr,2302926,22838276,1,4,1289.008842,0,100000,172.161331,110044,0,8642827,0,0,0,-1,-1,-1,2022-09-30.17:03:54
Flickr,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2839.07,426.263,2022-09-30.17:05:03
StackOverflow,2601978,28183518,1,4,2279.011500,100000,0,1602.760749,101477,176306,43483076,9,10,47318,-1,-1,-1,2022-09-30.17:06:14
StackOverflow,2601978,28183518,1,4,2280.550691,0,100000,870.343743,101477,0,24803420,0,0,0,-1,-1,-1,2022-09-30.17:07:22
StackOverflow,-1,-1,1,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,6946.96,859.815,2022-09-30.17:09:30
wiki-edits-sh,4579815,6265043,1,4,276.791213,100000,0,1775.679696,100867,116956,78568581,2,2,10631,-1,-1,-1,2022-09-30.17:09:40
wiki-edits-sh,4579815,6265043,1,4,276.268420,0,100000,1804.004807,100867,0,43642478,0,0,0,-1,-1,-1,2022-09-30.17:09:51
wiki-edits-sh,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:12:59
DBLP,1824702,8344615,2,4,933.804298,100000,0,52.247832,116740,146314,1119449,0,0,16726,-1,-1,-1,2022-09-30.17:13:16
DBLP,1824702,8344615,2,4,942.292841,0,100000,37.430974,115276,0,646181,0,0,0,-1,-1,-1,2022-09-30.17:13:34
DBLP,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,562.992,155.617,2022-09-30.17:14:09
Flickr,2302926,22838276,2,4,1268.508158,100000,0,178.006539,108389,128333,10392297,1,1,11042,-1,-1,-1,2022-09-30.17:14:47
Flickr,2302926,22838276,2,4,1283.457736,0,100000,110.002421,108399,0,8493256,0,0,0,-1,-1,-1,2022-09-30.17:15:24
Flickr,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2169.95,466.61,2022-09-30.17:16:32
StackOverflow,2601978,28183518,2,4,2269.999960,100000,0,1032.507939,101450,176243,42402697,10,11,47322,-1,-1,-1,2022-09-30.17:17:43
StackOverflow,2601978,28183518,2,4,2276.575266,0,100000,544.488449,101222,0,24345583,0,0,0,-1,-1,-1,2022-09-30.17:18:51
StackOverflow,-1,-1,2,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5090.58,831.374,2022-09-30.17:20:57
wiki-edits-sh,4579815,6265043,2,4,276.398969,100000,0,1475.289909,100715,117356,77322439,7,7,11198,-1,-1,-1,2022-09-30.17:21:07
wiki-edits-sh,4579815,6265043,2,4,276.971058,0,100000,1493.268079,100825,0,47421519,0,0,0,-1,-1,-1,2022-09-30.17:21:18
wiki-edits-sh,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:24:26
DBLP,1824702,8344615,4,4,940.644818,100000,0,39.277083,114917,144275,1028778,0,0,16768,-1,-1,-1,2022-09-30.17:24:43
DBLP,1824702,8344615,4,4,946.212280,0,100000,26.018372,111661,0,613210,0,0,0,-1,-1,-1,2022-09-30.17:25:01
DBLP,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,491.154,198.676,2022-09-30.17:25:36
Flickr,2302926,22838276,4,4,1276.523014,100000,0,152.889111,106545,126332,9437937,1,1,11040,-1,-1,-1,2022-09-30.17:26:14
Flickr,2302926,22838276,4,4,1285.875283,0,100000,85.790406,106684,0,8109383,0,0,0,-1,-1,-1,2022-09-30.17:26:51
Flickr,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2409.95,511.596,2022-09-30.17:28:00
StackOverflow,2601978,28183518,4,4,2280.732395,100000,0,672.474937,101321,176087,40115197,10,11,47384,-1,-1,-1,2022-09-30.17:29:10
StackOverflow,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:32:10
StackOverflow,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,4747.87,809.8,2022-09-30.17:34:16
wiki-edits-sh,4579815,6265043,4,4,277.664512,100000,0,1326.130304,100532,117764,79058440,20,24,11894,-1,-1,-1,2022-09-30.17:34:25
wiki-edits-sh,4579815,6265043,4,4,273.124126,0,100000,1283.036773,100837,0,42808276,0,0,0,-1,-1,-1,2022-09-30.17:34:35
wiki-edits-sh,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.17:37:43
DBLP,1824702,8344615,8,4,930.423588,100000,0,49.232640,114210,143755,950403,0,0,16822,-1,-1,-1,2022-09-30.17:38:01
DBLP,1824702,8344615,8,4,944.615291,0,100000,40.257158,112027,0,614620,0,0,0,-1,-1,-1,2022-09-30.17:38:18
