I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,3,21,0,0,1971.680665,611.657373,799.826234,2463.783751,161064,12254896,0,80532,0,0
10000000,3,22,0,0,581.993885,49.017889,426.806093,390.446856,5756332,19985024,0,356608,643,0
10000000,3,23,0,0,1304.028557,36.397058,136.741266,355.250909,99024410,19999976,0,357142,713076,0
10000000,3,21,1,0,2111.531143,613.697365,1067.389017,2469.765293,161064,12254896,0,80532,0,0
10000000,3,22,1,0,759.644799,48.781708,584.480937,393.618161,5756332,19985024,0,356608,643,0
10000000,3,23,1,0,1676.732219,36.810095,284.940779,353.303470,99024410,19999976,0,357142,713076,0
10000000,3,21,0,1,2033.964755,722.506723,811.056834,3356.381102,161064,12254896,0,80532,0,0
10000000,3,22,0,1,584.798043,49.876715,430.364509,1011.537992,5756332,19985024,0,356608,643,643
10000000,3,23,0,1,1318.300687,35.913026,140.484025,1637.301116,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,1,2169.637914,728.182701,1079.187625,3457.009805,161064,12254896,0,80532,0,0
10000000,3,22,1,1,764.953970,49.516809,588.880734,1264.749058,5756332,19985024,0,356608,643,643
10000000,3,23,1,1,1661.926720,36.924189,286.960440,1844.927264,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,2,1069.946330,362.824465,414.061759,1809.394308,161064,12254896,0,80532,0,0
10000000,3,22,0,2,415.607155,24.911875,226.351256,663.314541,5756332,19985024,0,356608,643,643
10000000,3,23,0,2,1801.809601,18.276387,110.029895,2107.134574,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,2,1149.770717,368.285440,548.135117,1854.659912,161064,12254896,0,80532,0,0
10000000,3,22,1,2,503.835786,25.284862,284.361702,777.285710,5756332,19985024,0,356608,643,643
10000000,3,23,1,2,2294.837155,18.271376,238.511044,2741.555394,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,4,555.019601,183.887272,218.386385,938.671276,161064,12254896,0,80532,0,0
10000000,3,22,0,4,300.116216,12.638611,123.581684,408.550619,5756332,19985024,0,356608,643,643
10000000,3,23,0,4,2026.629230,9.681061,44.455546,2390.116911,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,4,597.388693,186.093217,281.784154,968.380223,161064,12254896,0,80532,0,0
10000000,3,22,1,4,326.220720,12.771626,142.123841,475.799395,5756332,19985024,0,356608,643,643
10000000,3,23,1,4,2905.269243,9.043384,93.626368,3401.033898,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,8,357.312562,99.975004,128.911344,612.752546,161064,12254896,0,80532,0,0
10000000,3,22,0,8,396.049028,6.475682,93.431339,622.073690,5756332,19985024,0,356608,643,643
10000000,3,23,0,8,1971.749085,4.926625,21.765248,2491.739345,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,8,401.993854,99.740283,155.859006,626.709669,161064,12254896,0,80532,0,0
10000000,3,22,1,8,435.435179,6.495383,127.361015,638.329644,5756332,19985024,0,356608,643,643
10000000,3,23,1,8,4845.055342,4.623601,86.477215,5855.212831,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,16,309.019022,49.323267,68.932631,473.368117,161064,12254896,0,80532,0,0
10000000,3,22,0,16,343.060514,3.345856,62.263310,514.684414,5756332,19985024,0,356608,643,643
10000000,3,23,0,16,3641.052683,2.587002,14.655448,2587.141270,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,16,326.075563,49.611859,79.260050,501.481557,161064,12254896,0,80532,0,0
10000000,3,22,1,16,364.285755,3.331235,72.328458,517.431420,5756332,19985024,0,356608,643,643
10000000,3,23,1,16,5762.520211,2.436636,47.613693,7010.347379,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,24,335.818683,35.644931,64.690294,478.130946,161064,12254896,0,80532,0,0
10000000,3,22,0,24,345.039264,2.280520,47.409112,470.807626,5756332,19985024,0,356608,643,643
10000000,3,23,0,24,3610.842370,1.937234,13.358051,3637.728810,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,24,320.082595,33.700946,54.536673,480.031125,161064,12254896,0,80532,0,0
10000000,3,22,1,24,351.116325,2.242308,54.965211,452.079637,5756332,19985024,0,356608,643,643
10000000,3,23,1,24,6727.126725,1.713455,32.090446,7667.202657,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,32,306.938240,24.949725,46.868139,493.900632,161064,12254896,0,80532,0,0
10000000,3,22,0,32,349.262971,1.795058,44.582860,437.819042,5756332,19985024,0,356608,643,643
10000000,3,23,0,32,7268.394919,1.532987,12.788906,2743.191205,99024410,19999976,0,357142,713076,713076
10000000,3,21,1,32,331.572399,24.773957,43.600447,496.737871,161064,12254896,0,80532,0,0
10000000,3,22,1,32,353.649069,1.807388,44.739176,420.201242,5756332,19985024,0,356608,643,643
10000000,3,23,1,32,6717.628370,1.319247,33.672484,7916.515659,99024410,19999976,0,357142,713076,713076
10000000,3,21,0,40,370.370762,22.172724,45.333881,506.328303,161064,12254896,0,80532,0,0
10000000,3,22,0,40,392.460542,1.510525,49.333395,438.624529,5756332,19985024,0,356608,643,643
10000000,3,23,0,40,9098.840662,1.500635,12.100807,3914.788839,99024410,19999976,0,357142,713076,713076
