I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,0,32,287.632885,38.207879,67.323416,502.219586,0,10000000,0,0,0,0
10000000,2,21,0,32,294.516642,26.965134,48.903861,479.686014,124818,11747452,0,62409,0,0
10000000,2,22,0,32,446.253660,1.432371,45.361548,511.016486,6319632,19990988,0,356821,2485,0
20000000,2,20,0,32,561.853870,70.896460,141.915745,1021.460048,0,20000000,0,0,0,0
20000000,2,21,0,32,616.435047,57.064583,116.287589,963.633731,250074,23501036,0,125037,0,0
20000000,2,22,0,32,951.263788,2.798541,82.474689,935.605032,12605781,39981808,0,713636,2485,0
30000000,2,20,0,32,826.632889,119.477237,219.643060,1547.836087,0,30000000,0,0,0,0
30000000,2,21,0,32,810.822606,91.774910,195.293089,1517.728228,375218,35253052,0,187609,0,0
30000000,2,22,0,32,992.689877,4.488564,130.093055,1256.870209,18914132,59972628,0,1070451,3780,0
40000000,2,20,0,32,1088.544313,199.206508,302.122910,2067.117892,0,40000000,0,0,0,0
40000000,2,21,0,32,1211.486880,129.051500,280.417183,1930.485324,500444,47006216,0,250222,0,0
40000000,2,22,0,32,1530.203267,5.546609,170.997971,1781.459752,25176702,79962888,0,1427246,3780,0
50000000,2,20,0,32,1346.285169,300.606375,388.584983,2582.244916,0,50000000,0,0,0,0
50000000,2,21,0,32,1518.166498,167.463718,369.571152,2451.481233,625502,58757028,0,312751,0,0
50000000,2,22,0,32,2211.771196,7.001132,210.690504,2082.842512,31502813,99953848,0,1784066,3780,0
60000000,2,20,0,32,1607.080647,402.136417,478.544385,3179.879373,0,60000000,0,0,0,0
60000000,2,21,0,32,1607.382810,206.249253,459.997605,3139.558444,749478,70492692,0,374739,0,0
60000000,2,22,0,32,1863.208653,8.865863,252.817693,2692.559660,37817804,119945340,0,2140905,3780,0
70000000,2,20,0,32,1857.556840,501.995207,570.101688,3619.165278,0,70000000,0,0,0,0
70000000,2,21,0,32,2138.844472,244.963004,550.551504,3464.081505,877004,82278056,0,438502,0,0
70000000,2,22,0,32,2281.833814,10.176380,306.472708,3193.882873,44110750,139935908,0,2497711,3780,0
80000000,2,20,0,32,2102.486372,602.416634,664.013692,4143.314105,0,80000000,0,0,0,0
80000000,2,21,0,32,2149.522425,283.594671,637.791600,4111.076385,1000006,94000084,0,500003,0,0
80000000,2,22,0,32,3081.595027,12.657766,348.556695,3616.531518,50467134,159927540,0,2854555,3780,0
90000000,2,20,0,32,2358.064537,696.851050,758.182988,4668.540170,0,90000000,0,0,0,0
90000000,2,21,0,32,2728.747879,321.442676,730.946441,4448.842858,1125798,105761172,0,562899,0,0
90000000,2,22,0,32,2650.953631,14.311617,384.652044,4213.852235,56678378,179917296,0,3211332,3780,0
100000000,2,20,0,32,2608.356123,797.993777,852.177085,5193.375130,0,100000000,0,0,0,0
100000000,2,21,0,32,2692.674223,358.836330,817.796211,5149.921254,1251014,117514196,0,625507,0,0
100000000,2,22,0,32,3024.219427,18.241642,426.564682,4738.249191,63020876,199907416,0,3568122,3780,0
10000000,2,20,0,32,286.238634,38.243882,67.219370,515.269003,0,10000000,0,0,0,0
10000000,2,21,0,32,322.829053,26.376235,49.031080,475.147679,125484,11756776,0,62742,0,0
10000000,2,22,0,32,446.466963,1.399401,42.906703,514.114151,6331355,19991324,0,356833,2485,0
20000000,2,20,0,32,559.717671,71.148420,142.030659,1058.607340,0,20000000,0,0,0,0
20000000,2,21,0,32,580.426570,57.141211,115.620392,959.462211,250290,23504060,0,125145,0,0
20000000,2,22,0,32,932.183485,2.767380,86.346230,903.156404,12556863,39981220,0,713615,2485,0
30000000,2,20,0,32,830.002905,119.614765,219.685010,1589.039356,0,30000000,0,0,0,0
30000000,2,21,0,32,916.832604,91.854039,196.001472,1462.871263,374820,35247480,0,187410,0,0
30000000,2,22,0,32,1095.104632,4.311067,130.064757,1299.539947,18901607,59972544,0,1070448,3780,0
40000000,2,20,0,32,1090.787921,200.003774,302.118588,2118.102842,0,40000000,0,0,0,0
40000000,2,21,0,32,1075.859848,129.018941,280.340400,2080.672739,499702,46995828,0,249851,0,0
40000000,2,22,0,32,1389.550182,5.551321,172.909506,1733.878407,25225784,79963308,0,1427261,5139,0
50000000,2,20,0,32,1354.316648,300.341547,389.877293,2582.281815,0,50000000,0,0,0,0
50000000,2,21,0,32,1516.353664,167.470668,368.252283,2417.345474,624162,58738268,0,312081,0,0
50000000,2,22,0,32,1968.223448,7.118589,215.421229,2267.018400,31502364,99953400,0,1784050,3780,0
60000000,2,20,0,32,1604.509946,405.833782,478.798967,3184.800214,0,60000000,0,0,0,0
60000000,2,21,0,32,1612.876190,206.000058,458.942233,3142.126286,750940,70513160,0,375470,0,0
60000000,2,22,0,32,1801.823230,8.500169,257.452859,2699.950209,37735582,119944920,0,2140890,3780,0
70000000,2,20,0,32,1996.324089,505.843652,569.398559,3637.065193,0,70000000,0,0,0,0
70000000,2,21,0,32,1881.287288,244.797527,549.648159,3673.506522,877126,82279764,0,438563,0,0
70000000,2,22,0,32,2049.462212,10.542897,311.104142,3191.443071,44154438,139935460,0,2497695,3780,0
80000000,2,20,0,32,2106.373229,604.288964,662.296009,4253.324608,0,80000000,0,0,0,0
80000000,2,21,0,32,2148.745603,283.235440,639.660943,4202.258377,999782,93996948,0,499891,0,0
80000000,2,22,0,32,3438.795008,11.691217,339.858544,3311.275982,50346718,159925972,0,2854499,3780,0
90000000,2,20,0,32,2360.963931,701.618303,757.526966,4669.549518,0,90000000,0,0,0,0
90000000,2,21,0,32,2420.342989,321.289255,729.555749,4736.179808,1123342,105726788,0,561671,0,0
90000000,2,22,0,32,3824.868752,14.788181,394.350799,3721.825658,56699237,179918220,0,3211365,3780,0
100000000,2,20,0,32,2605.193414,800.530718,853.957022,5190.467012,0,100000000,0,0,0,0
100000000,2,21,0,32,2867.793265,359.099718,816.598858,4915.925087,1250454,117506356,0,625227,0,0
100000000,2,22,0,32,3029.181822,17.033988,439.663026,4733.124825,62954147,199907416,0,3568122,3780,0
10000000,2,20,0,32,288.872333,38.232327,67.203421,516.237401,0,10000000,0,0,0,0
10000000,2,21,0,32,301.650727,26.290189,48.683149,470.165565,125340,11754760,0,62670,0,0
10000000,2,22,0,32,418.428934,1.500165,43.294665,418.854443,6292583,19990708,0,356811,3780,0
20000000,2,20,0,32,561.334054,70.930072,142.541974,1059.450969,0,20000000,0,0,0,0
20000000,2,21,0,32,616.750294,57.079843,115.573416,966.528533,249518,23493252,0,124759,0,0
20000000,2,22,0,32,763.653866,2.866565,83.411552,844.383852,12620422,39981724,0,713633,3780,0
30000000,2,20,0,32,833.915758,120.303181,219.633322,1587.811370,0,30000000,0,0,0,0
30000000,2,21,0,32,915.802404,91.823347,195.383073,1439.861710,375482,35256748,0,187741,0,0
30000000,2,22,0,32,980.828768,4.272195,127.450480,1292.029515,18930255,59973020,0,1070465,3780,0
40000000,2,20,0,32,1089.382748,199.231339,302.266070,2063.063463,0,40000000,0,0,0,0
40000000,2,21,0,32,1141.441730,128.992236,279.748555,1934.812166,499342,46990788,0,249671,0,0
40000000,2,22,0,32,1422.241188,5.616562,168.155361,1768.782273,25265128,79963196,0,1427257,3780,0
50000000,2,20,0,32,1347.878845,298.145610,388.984634,2582.461182,0,50000000,0,0,0,0
50000000,2,21,0,32,1425.439841,167.270583,368.232034,2426.914611,626240,58767360,0,313120,0,0
50000000,2,22,0,32,1579.823072,6.782604,215.304392,2246.652062,31467523,99954884,0,1784103,3780,0
60000000,2,20,0,32,1608.894338,402.768398,478.355381,3187.218747,0,60000000,0,0,0,0
60000000,2,21,0,32,1611.609130,205.961327,460.283437,3143.518808,749854,70497956,0,374927,0,0
60000000,2,22,0,32,1753.340613,9.591926,259.899651,2695.850662,37897017,119946236,0,2140937,5139,0
70000000,2,20,0,32,1855.889368,502.579566,569.530844,3624.809887,0,70000000,0,0,0,0
70000000,2,21,0,32,1875.845477,245.007585,547.192575,3593.344485,876826,82275564,0,438413,0,0
70000000,2,22,0,32,2631.143574,10.490944,294.370641,3072.796506,44109589,139935796,0,2497707,3780,0
80000000,2,20,0,32,2110.253592,604.821457,663.958436,4143.764079,0,80000000,0,0,0,0
80000000,2,21,0,32,2451.156929,282.966376,640.921507,3967.775060,1001400,94019600,0,500700,0,0
80000000,2,22,0,32,3027.065657,11.653904,340.568269,3649.028667,50474100,159926504,0,2854518,3780,0
90000000,2,20,0,32,2361.563461,703.099415,757.394994,4666.580318,0,90000000,0,0,0,0
90000000,2,21,0,32,2567.141149,321.255041,730.199845,4495.488682,1123202,105724828,0,561601,0,0
90000000,2,22,0,32,2598.893917,14.865423,382.901667,4211.948934,56804254,179918304,0,3211368,3780,0
100000000,2,20,0,32,2605.015135,796.159916,852.908411,5188.659539,0,100000000,0,0,0,0
100000000,2,21,0,32,3063.542504,358.598143,820.063717,4963.196371,1251318,117518452,0,625659,0,0
100000000,2,22,0,32,4375.218269,16.598828,440.213153,4274.331139,63047349,199909600,0,3568200,3780,0
10000000,2,20,0,32,284.523527,38.233924,67.157484,529.569908,0,10000000,0,0,0,0
10000000,2,21,0,32,281.108880,24.856136,48.679946,491.470080,124928,11748992,0,62464,0,0
10000000,2,22,0,32,446.975575,1.268515,44.441323,510.940592,6280097,19990820,0,356815,2485,0
20000000,2,20,0,32,560.934754,70.911457,142.056915,1028.175976,0,20000000,0,0,0,0
20000000,2,21,0,32,587.972363,56.894571,115.900024,958.003939,250482,23506748,0,125241,0,0
20000000,2,22,0,32,763.784528,2.873654,84.669383,852.955664,12617180,39981948,0,713641,3780,0
30000000,2,20,0,32,827.320406,119.606564,219.256284,1542.222080,0,30000000,0,0,0,0
30000000,2,21,0,32,913.114627,93.836749,195.761967,1461.306168,376334,35268676,0,188167,0,0
30000000,2,22,0,32,1078.070721,4.223163,123.964612,1259.471567,18924565,59972684,0,1070453,3780,0
40000000,2,20,0,32,1092.504935,198.591210,301.906308,2116.012754,0,40000000,0,0,0,0
40000000,2,21,0,32,1075.479037,129.175828,280.220780,2079.067473,499726,46996164,0,249863,0,0
40000000,2,22,0,32,1293.654632,5.617323,167.259624,1727.218264,25165315,79962580,0,1427235,3780,0
50000000,2,20,0,32,1347.915458,299.795616,389.064397,2647.688803,0,50000000,0,0,0,0
50000000,2,21,0,32,1426.276356,167.356618,368.373732,2423.250264,623740,58732360,0,311870,0,0
50000000,2,22,0,32,1659.551114,7.032374,215.071152,2207.433047,31574202,99955192,0,1784114,3780,0
60000000,2,20,0,32,1602.608199,399.995288,479.011677,3182.733244,0,60000000,0,0,0,0
60000000,2,21,0,32,1607.479947,205.927836,460.153710,3141.898974,750658,70509212,0,375329,0,0
60000000,2,22,0,32,1903.942786,8.865693,264.184985,2729.508887,37814223,119945312,0,2140904,3780,0
70000000,2,20,0,32,1859.608297,502.282691,570.633196,3621.887023,0,70000000,0,0,0,0
70000000,2,21,0,32,2137.027572,244.740663,550.659712,3466.822733,874610,82244540,0,437305,0,0
70000000,2,22,0,32,2309.331609,10.472014,298.124201,3195.887064,44100632,139935600,0,2497700,3780,0
80000000,2,20,0,32,2105.741654,601.398395,663.433267,4143.323687,0,80000000,0,0,0,0
80000000,2,21,0,32,2144.330659,283.234256,639.720941,4203.529974,1000410,94005740,0,500205,0,0
80000000,2,22,0,32,2388.439011,12.976982,336.550162,3723.107148,50433509,159926476,0,2854517,3780,0
90000000,2,20,0,32,2355.664211,704.260500,757.289883,4790.070094,0,90000000,0,0,0,0
90000000,2,21,0,32,2418.637360,321.179186,727.353467,4630.667365,1127164,105780296,0,563582,0,0
90000000,2,22,0,32,2808.441190,16.005152,399.967822,4232.721545,56765590,179917800,0,3211350,5139,0
100000000,2,20,0,32,2608.605138,796.746566,851.605037,5325.799597,0,100000000,0,0,0,0
100000000,2,21,0,32,2872.525573,358.749259,817.805475,4919.806748,1252426,117533964,0,626213,0,0
100000000,2,22,0,32,3113.164313,16.956823,430.393145,4693.421316,62966565,199908396,0,3568157,3780,0
10000000,2,20,0,32,287.107862,38.277655,67.181774,515.148380,0,10000000,0,0,0,0
10000000,2,21,0,32,291.384777,26.346599,48.712436,491.508167,124386,11741404,0,62193,0,0
10000000,2,22,0,32,431.320906,1.448333,51.714095,418.506201,6284687,19991184,0,356828,2485,0
20000000,2,20,0,32,563.633516,70.908915,141.964097,1027.576491,0,20000000,0,0,0,0
20000000,2,21,0,32,543.844310,57.170581,115.873410,1023.494444,249876,23498264,0,124938,0,0
20000000,2,22,0,32,758.905296,2.902505,85.392652,815.973733,12594668,39981668,0,713631,3780,0
30000000,2,20,0,32,827.154367,119.825720,219.798191,1586.426858,0,30000000,0,0,0,0
30000000,2,21,0,32,810.371591,92.032459,195.224569,1513.861641,376144,35266016,0,188072,0,0
30000000,2,22,0,32,1358.638291,4.267194,126.674356,1275.332940,18913114,59972852,0,1070459,3780,0
40000000,2,20,0,32,1093.719559,197.826272,302.050396,2114.756385,0,40000000,0,0,0,0
40000000,2,21,0,32,1078.653107,129.041388,280.871171,2079.831175,500904,47012656,0,250452,0,0
40000000,2,22,0,32,1755.184851,5.606283,167.849815,1675.936865,25156225,79963000,0,1427250,3780,0
50000000,2,20,0,32,1352.942722,297.782662,388.307945,2578.399624,0,50000000,0,0,0,0
50000000,2,21,0,32,1430.267594,167.300712,369.514932,2480.246430,625756,58760584,0,312878,0,0
50000000,2,22,0,32,1958.842551,6.985492,212.699864,2318.534238,31533508,99954352,0,1784084,3780,0
60000000,2,20,0,32,1604.936243,403.318174,478.103336,3097.920996,0,60000000,0,0,0,0
60000000,2,21,0,32,1717.650784,206.099328,456.919840,2935.982224,750606,70508484,0,375303,0,0
60000000,2,22,0,32,2065.459167,8.503747,255.034743,2740.909270,37756522,119944780,0,2140885,3780,0
70000000,2,20,0,32,1855.919198,501.364230,569.795429,3625.363728,0,70000000,0,0,0,0
70000000,2,21,0,32,2120.645089,244.850953,547.354238,3399.968364,874078,82237092,0,437039,0,0
70000000,2,22,0,32,2038.421854,10.380498,295.073243,3218.250698,44167297,139936188,0,2497721,3780,0
80000000,2,20,0,32,2105.564805,600.256654,663.486377,4146.550187,0,80000000,0,0,0,0
80000000,2,21,0,32,2149.750964,283.282093,640.100266,4201.941358,1001028,94014392,0,500514,0,0
80000000,2,22,0,32,2314.694921,13.554066,337.799030,3682.617582,50459599,159927288,0,2854546,3780,0
90000000,2,20,0,32,2355.163829,702.047853,756.902143,4667.268485,0,90000000,0,0,0,0
90000000,2,21,0,32,2755.848724,321.297257,726.914836,4398.338329,1126650,105773100,0,563325,0,0
90000000,2,22,0,32,3948.535629,14.440374,387.672335,3839.735194,56714335,179916932,0,3211319,3780,0
100000000,2,20,0,32,2610.366514,792.694418,851.923058,5191.678190,0,100000000,0,0,0,0
100000000,2,21,0,32,2689.389637,358.604017,819.598141,5262.437215,1249962,117499468,0,624981,0,0
100000000,2,22,0,32,3096.292730,16.220041,438.873537,4699.484013,62921430,199908172,0,3568149,3780,0
10000000,2,20,0,32,287.856630,38.272223,67.205744,515.015507,0,10000000,0,0,0,0
10000000,2,21,0,32,290.393649,26.437133,49.052130,491.079792,125220,11753080,0,62610,0,0
10000000,2,22,0,32,478.693207,1.274225,44.124167,559.867535,6309370,19990876,0,356817,3780,0
20000000,2,20,0,32,564.091618,71.052931,141.995826,1057.801073,0,20000000,0,0,0,0
20000000,2,21,0,32,546.147572,57.200742,115.703110,1022.766329,249582,23494148,0,124791,0,0
20000000,2,22,0,32,949.308055,2.878665,85.751046,910.399313,12564681,39981892,0,713639,2485,0
30000000,2,20,0,32,828.162900,119.408801,219.349469,1586.886578,0,30000000,0,0,0,0
30000000,2,21,0,32,807.132351,91.801327,195.563702,1514.620764,374724,35246136,0,187362,0,0
30000000,2,22,0,32,1244.387427,4.380700,127.261319,1461.524780,18900360,59972516,0,1070447,3780,0
40000000,2,20,0,32,1092.740452,197.755436,301.926076,2058.700357,0,40000000,0,0,0,0
40000000,2,21,0,32,1075.166743,129.107959,280.554244,2080.338971,501524,47021336,0,250762,0,0
